simtime,window,invocation_count,rps,replicas
0.0,1.0,0,0.0,8
1.0,1.0,33,33.0,8
2.0,1.0,53,53.0,8
3.0,1.0,52,52.0,8
4.0,1.0,40,40.0,8
5.0,1.0,31,31.0,8
6.0,1.0,39,39.0,8
7.0,1.0,37,37.0,8
8.0,1.0,44,44.0,8
9.0,1.0,30,30.0,8
10.0,1.0,43,43.0,8
11.0,1.0,38,38.0,8
12.0,1.0,40,40.0,8
13.0,1.0,36,36.0,8
14.0,1.0,41,41.0,8
15.0,1.0,50,50.0,8
16.0,1.0,40,40.0,8
17.0,1.0,39,39.0,8
18.0,1.0,25,25.0,8
19.0,1.0,41,41.0,8
20.0,1.0,50,50.0,8
21.0,1.0,41,41.0,8
22.0,1.0,43,43.0,8
23.0,1.0,36,36.0,8
24.0,1.0,39,39.0,8
25.0,1.0,55,55.0,8
26.0,1.0,42,42.0,8
27.0,1.0,42,42.0,8
28.0,1.0,40,40.0,8
29.0,1.0,47,47.0,8
30.0,1.0,42,42.0,8
31.0,1.0,31,31.0,8
32.0,1.0,31,31.0,8
33.0,1.0,50,50.0,8
34.0,1.0,42,42.0,8
35.0,1.0,36,36.0,8
36.0,1.0,40,40.0,8
37.0,1.0,43,43.0,8
38.0,1.0,56,56.0,8
39.0,1.0,47,47.0,8
40.0,1.0,45,45.0,8
41.0,1.0,37,37.0,8
42.0,1.0,43,43.0,8
43.0,1.0,37,37.0,8
44.0,1.0,42,42.0,8
45.0,1.0,32,32.0,8
46.0,1.0,38,38.0,8
47.0,1.0,40,40.0,8
48.0,1.0,43,43.0,8
49.0,1.0,19,19.0,8
50.0,1.0,19,19.0,8
