request_id,function_name,replica_index,running_replicas,replica_id,selected_replica_id,route_node,inv_node,route_simtime,simtime,inv_t_start,expected_t_exec,inv_t_exec,route_probe_replica_match,route_probe_simtime_match,probe_invocation_simtime_match,probe_invocation_t_exec_match,matched
1,load-balanced-python-pi,0,3,2083384879632,2083384879632,server_0,server_0,3.05,3.05,3.05,0.3,0.2999999999999998,True,True,True,True,True
2,load-balanced-python-pi,1,3,2083384884432,2083384884432,server_0,server_0,3.0999999999999996,3.0999999999999996,3.0999999999999996,0.3,0.2999999999999998,True,True,True,True,True
3,load-balanced-python-pi,2,3,2083384878672,2083384878672,server_0,server_0,3.1499999999999995,3.1499999999999995,3.1499999999999995,0.3,0.2999999999999998,True,True,True,True,True
4,load-balanced-python-pi,0,3,2083384879632,2083384879632,server_0,server_0,3.1999999999999993,3.1999999999999993,3.1999999999999993,0.3,0.2999999999999998,True,True,True,True,True
5,load-balanced-python-pi,1,3,2083384884432,2083384884432,server_0,server_0,3.249999999999999,3.249999999999999,3.249999999999999,0.3,0.2999999999999998,True,True,True,True,True
6,load-balanced-python-pi,2,3,2083384878672,2083384878672,server_0,server_0,3.299999999999999,3.299999999999999,3.299999999999999,0.3,0.2999999999999998,True,True,True,True,True
7,load-balanced-python-pi,0,3,2083384879632,2083384879632,server_0,server_0,3.3499999999999988,3.3499999999999988,3.3499999999999988,0.3,0.2999999999999998,True,True,True,True,True
8,load-balanced-python-pi,1,3,2083384884432,2083384884432,server_0,server_0,3.3999999999999986,3.3999999999999986,3.3999999999999986,0.3,0.2999999999999998,True,True,True,True,True
9,load-balanced-python-pi,2,3,2083384878672,2083384878672,server_0,server_0,3.4499999999999984,3.4499999999999984,3.4499999999999984,0.3,0.2999999999999998,True,True,True,True,True
10,load-balanced-python-pi,0,3,2083384879632,2083384879632,server_0,server_0,3.4999999999999982,3.4999999999999982,3.4999999999999982,0.3,0.2999999999999998,True,True,True,True,True
11,load-balanced-python-pi,1,3,2083384884432,2083384884432,server_0,server_0,3.549999999999998,3.549999999999998,3.549999999999998,0.3,0.2999999999999998,True,True,True,True,True
12,load-balanced-python-pi,2,3,2083384878672,2083384878672,server_0,server_0,3.599999999999998,3.599999999999998,3.599999999999998,0.3,0.2999999999999998,True,True,True,True,True
13,load-balanced-python-pi,0,3,2083384879632,2083384879632,server_0,server_0,3.6499999999999977,3.6499999999999977,3.6499999999999977,0.3,0.2999999999999998,True,True,True,True,True
14,load-balanced-python-pi,1,3,2083384884432,2083384884432,server_0,server_0,3.6999999999999975,3.6999999999999975,3.6999999999999975,0.3,0.2999999999999998,True,True,True,True,True
15,load-balanced-python-pi,2,3,2083384878672,2083384878672,server_0,server_0,3.7499999999999973,3.7499999999999973,3.7499999999999973,0.3,0.2999999999999998,True,True,True,True,True
16,load-balanced-python-pi,0,3,2083384879632,2083384879632,server_0,server_0,3.799999999999997,3.799999999999997,3.799999999999997,0.3,0.2999999999999998,True,True,True,True,True
17,load-balanced-python-pi,1,3,2083384884432,2083384884432,server_0,server_0,3.849999999999997,3.849999999999997,3.849999999999997,0.3,0.2999999999999998,True,True,True,True,True
18,load-balanced-python-pi,2,3,2083384878672,2083384878672,server_0,server_0,3.899999999999997,3.899999999999997,3.899999999999997,0.3,0.2999999999999998,True,True,True,True,True
19,load-balanced-python-pi,0,3,2083384879632,2083384879632,server_0,server_0,3.9499999999999966,3.9499999999999966,3.9499999999999966,0.3,0.2999999999999998,True,True,True,True,True
20,load-balanced-python-pi,1,3,2083384884432,2083384884432,server_0,server_0,3.9999999999999964,3.9999999999999964,3.9999999999999964,0.3,0.2999999999999998,True,True,True,True,True
21,load-balanced-python-pi,2,3,2083384878672,2083384878672,server_0,server_0,4.049999999999996,4.049999999999996,4.049999999999996,0.3,0.2999999999999998,True,True,True,True,True
22,load-balanced-python-pi,0,3,2083384879632,2083384879632,server_0,server_0,4.099999999999996,4.099999999999996,4.099999999999996,0.3,0.2999999999999998,True,True,True,True,True
23,load-balanced-python-pi,1,3,2083384884432,2083384884432,server_0,server_0,4.149999999999996,4.149999999999996,4.149999999999996,0.3,0.2999999999999998,True,True,True,True,True
24,load-balanced-python-pi,2,3,2083384878672,2083384878672,server_0,server_0,4.199999999999996,4.199999999999996,4.199999999999996,0.3,0.2999999999999998,True,True,True,True,True
25,load-balanced-python-pi,0,3,2083384879632,2083384879632,server_0,server_0,4.249999999999996,4.249999999999996,4.249999999999996,0.3,0.2999999999999998,True,True,True,True,True
26,load-balanced-python-pi,1,3,2083384884432,2083384884432,server_0,server_0,4.299999999999995,4.299999999999995,4.299999999999995,0.3,0.2999999999999998,True,True,True,True,True
27,load-balanced-python-pi,2,3,2083384878672,2083384878672,server_0,server_0,4.349999999999995,4.349999999999995,4.349999999999995,0.3,0.2999999999999998,True,True,True,True,True
28,load-balanced-python-pi,0,3,2083384879632,2083384879632,server_0,server_0,4.399999999999995,4.399999999999995,4.399999999999995,0.3,0.2999999999999998,True,True,True,True,True
29,load-balanced-python-pi,1,3,2083384884432,2083384884432,server_0,server_0,4.449999999999995,4.449999999999995,4.449999999999995,0.3,0.2999999999999998,True,True,True,True,True
30,load-balanced-python-pi,2,3,2083384878672,2083384878672,server_0,server_0,4.499999999999995,4.499999999999995,4.499999999999995,0.3,0.2999999999999998,True,True,True,True,True
