request_id,simtime,replica_index,running_replicas,selected_replica_id,selected_node,policy
1,3.05,0,3,2083384879632,server_0,instrumented_round_robin
2,3.0999999999999996,1,3,2083384884432,server_0,instrumented_round_robin
3,3.1499999999999995,2,3,2083384878672,server_0,instrumented_round_robin
4,3.1999999999999993,0,3,2083384879632,server_0,instrumented_round_robin
5,3.249999999999999,1,3,2083384884432,server_0,instrumented_round_robin
6,3.299999999999999,2,3,2083384878672,server_0,instrumented_round_robin
7,3.3499999999999988,0,3,2083384879632,server_0,instrumented_round_robin
8,3.3999999999999986,1,3,2083384884432,server_0,instrumented_round_robin
9,3.4499999999999984,2,3,2083384878672,server_0,instrumented_round_robin
10,3.4999999999999982,0,3,2083384879632,server_0,instrumented_round_robin
11,3.549999999999998,1,3,2083384884432,server_0,instrumented_round_robin
12,3.599999999999998,2,3,2083384878672,server_0,instrumented_round_robin
13,3.6499999999999977,0,3,2083384879632,server_0,instrumented_round_robin
14,3.6999999999999975,1,3,2083384884432,server_0,instrumented_round_robin
15,3.7499999999999973,2,3,2083384878672,server_0,instrumented_round_robin
16,3.799999999999997,0,3,2083384879632,server_0,instrumented_round_robin
17,3.849999999999997,1,3,2083384884432,server_0,instrumented_round_robin
18,3.899999999999997,2,3,2083384878672,server_0,instrumented_round_robin
19,3.9499999999999966,0,3,2083384879632,server_0,instrumented_round_robin
20,3.9999999999999964,1,3,2083384884432,server_0,instrumented_round_robin
21,4.049999999999996,2,3,2083384878672,server_0,instrumented_round_robin
22,4.099999999999996,0,3,2083384879632,server_0,instrumented_round_robin
23,4.149999999999996,1,3,2083384884432,server_0,instrumented_round_robin
24,4.199999999999996,2,3,2083384878672,server_0,instrumented_round_robin
25,4.249999999999996,0,3,2083384879632,server_0,instrumented_round_robin
26,4.299999999999995,1,3,2083384884432,server_0,instrumented_round_robin
27,4.349999999999995,2,3,2083384878672,server_0,instrumented_round_robin
28,4.399999999999995,0,3,2083384879632,server_0,instrumented_round_robin
29,4.449999999999995,1,3,2083384884432,server_0,instrumented_round_robin
30,4.499999999999995,2,3,2083384878672,server_0,instrumented_round_robin
