time,value,function_name,node_name,replica_id
2026-07-11 14:31:30.342687,deploy,skippy-large,server_0,3241780520528
2026-07-11 14:31:30.343683,deploy,skippy-medium,server_1,3241780517264
2026-07-11 14:31:30.344680,deploy,skippy-medium,server_2,3241780517600
2026-07-11 14:31:30.345678,deploy,skippy-small,server_3,3241780514384
2026-07-11 14:31:30.345678,deploy,skippy-small,server_3,3241780516784
2026-07-11 14:31:30.345678,startup,skippy-small,server_3,3241780516784
2026-07-11 14:31:30.345678,setup,skippy-small,server_3,3241780516784
2026-07-11 14:31:30.345678,finish,skippy-small,server_3,3241780516784
2026-07-11 14:31:30.346675,startup,skippy-small,server_3,3241780514384
2026-07-11 14:31:30.346675,setup,skippy-small,server_3,3241780514384
2026-07-11 14:31:30.346675,finish,skippy-small,server_3,3241780514384
2026-07-11 14:31:30.346675,startup,skippy-medium,server_1,3241780517264
2026-07-11 14:31:30.346675,setup,skippy-medium,server_1,3241780517264
2026-07-11 14:31:30.346675,finish,skippy-medium,server_1,3241780517264
2026-07-11 14:31:30.346675,startup,skippy-medium,server_2,3241780517600
2026-07-11 14:31:30.346675,setup,skippy-medium,server_2,3241780517600
2026-07-11 14:31:30.346675,finish,skippy-medium,server_2,3241780517600
2026-07-11 14:31:30.346675,startup,skippy-large,server_0,3241780520528
2026-07-11 14:31:30.346675,setup,skippy-large,server_0,3241780520528
2026-07-11 14:31:30.346675,finish,skippy-large,server_0,3241780520528
