time,cpu,memory,cpu_util,mem_util,node,replica_id
2026-07-11 14:31:54.398269,2800.0,268435456,0.7,0.125,server_0,2177742490928
2026-07-11 14:31:54.398269,1400.0,134217728,0.35,0.0625,server_0,2177742489728
2026-07-11 14:31:54.398269,2800.0,268435456,0.7,0.125,server_0,2177742490928
2026-07-11 14:31:54.398269,4200.0,402653184,1.05,0.1875,server_0,2177742489728
2026-07-11 14:31:54.399267,4200.0,402653184,1.05,0.1875,server_0,2177742490928
2026-07-11 14:31:54.399267,2800.0,268435456,0.7,0.125,server_0,2177742489728
2026-07-11 14:31:54.400265,2800.0,268435456,0.7,0.125,server_0,2177742490928
2026-07-11 14:31:54.400265,4200.0,402653184,1.05,0.1875,server_0,2177742489728
2026-07-11 14:31:54.400265,1400.0,134217728,0.35,0.0625,server_0,2177742490928
2026-07-11 14:31:54.400265,1400.0,134217728,0.35,0.0625,server_0,2177742489728
2026-07-11 14:31:54.401261,0.0,0,0.0,0.0,server_0,2177742490928
2026-07-11 14:31:54.401261,0.0,0,0.0,0.0,server_0,2177742489728
