active_requests_before,request_count,avg_degradation_factor,avg_final_duration,min_final_duration,max_final_duration
0,1,1.0,0.4,0.4,0.4
1,1,1.35,0.54,0.54,0.54
2,1,1.7,0.68,0.68,0.68
3,1,2.05,0.82,0.82,0.82
4,1,2.4,0.96,0.96,0.96
5,1,2.75,1.1,1.1,1.1
6,1,3.0999999999999996,1.24,1.24,1.24
7,2,3.4499999999999997,1.38,1.38,1.38
8,1,3.8,1.52,1.52,1.52
9,2,4.15,1.6600000000000001,1.6600000000000001,1.6600000000000001
10,1,4.5,1.8,1.8,1.8
11,1,4.85,1.94,1.94,1.94
12,2,5.199999999999999,2.0799999999999996,2.0799999999999996,2.0799999999999996
13,1,5.55,2.22,2.22,2.22
14,2,5.8999999999999995,2.36,2.36,2.36
15,1,6.25,2.5,2.5,2.5
16,1,6.6,2.64,2.64,2.64
17,2,6.949999999999999,2.78,2.78,2.78
18,1,7.3,2.92,2.92,2.92
19,2,7.6499999999999995,3.06,3.06,3.06
20,1,8.0,3.2,3.2,3.2
21,1,8.35,3.34,3.34,3.34
22,2,8.7,3.48,3.48,3.48
23,1,9.049999999999999,3.6199999999999997,3.6199999999999997,3.6199999999999997
24,3,9.399999999999999,3.76,3.76,3.76
25,1,9.75,3.9000000000000004,3.9000000000000004,3.9000000000000004
26,1,10.1,4.04,4.04,4.04
27,2,10.45,4.18,4.18,4.18
28,1,10.799999999999999,4.319999999999999,4.319999999999999,4.319999999999999
29,1,11.149999999999999,4.46,4.46,4.46
