topology,source,target,directed,latency,connection_source,connection_target
minimal,edge_node,direct_link,False,2,edge_node,direct_link
minimal,direct_link,edge_node,False,2,edge_node,direct_link
minimal,direct_link,cloud_node,False,5,direct_link,cloud_node
minimal,cloud_node,direct_link,False,5,direct_link,cloud_node
edge_cloud_star,edge_0,access_0,False,2,edge_0,access_0
edge_cloud_star,access_0,edge_0,False,2,edge_0,access_0
edge_cloud_star,access_0,edge_switch,False,1,access_0,edge_switch
edge_cloud_star,edge_switch,access_0,False,1,access_0,edge_switch
edge_cloud_star,edge_switch,access_1,False,1,access_1,edge_switch
edge_cloud_star,edge_switch,access_2,False,1,access_2,edge_switch
edge_cloud_star,edge_switch,access_3,False,1,access_3,edge_switch
edge_cloud_star,edge_switch,backbone,False,8,edge_switch,backbone
edge_cloud_star,edge_1,access_1,False,2,edge_1,access_1
edge_cloud_star,access_1,edge_1,False,2,edge_1,access_1
edge_cloud_star,access_1,edge_switch,False,1,access_1,edge_switch
edge_cloud_star,edge_2,access_2,False,2,edge_2,access_2
edge_cloud_star,access_2,edge_2,False,2,edge_2,access_2
edge_cloud_star,access_2,edge_switch,False,1,access_2,edge_switch
edge_cloud_star,edge_3,access_3,False,2,edge_3,access_3
edge_cloud_star,access_3,edge_3,False,2,edge_3,access_3
edge_cloud_star,access_3,edge_switch,False,1,access_3,edge_switch
edge_cloud_star,backbone,edge_switch,False,8,edge_switch,backbone
edge_cloud_star,backbone,cloud_switch,False,20,backbone,cloud_switch
edge_cloud_star,cloud_switch,backbone,False,20,backbone,cloud_switch
edge_cloud_star,cloud_switch,cloud_access,False,3,cloud_switch,cloud_access
edge_cloud_star,cloud_access,cloud_switch,False,3,cloud_switch,cloud_access
edge_cloud_star,cloud_access,cloud_node,False,2,cloud_access,cloud_node
edge_cloud_star,cloud_node,cloud_access,False,2,cloud_access,cloud_node
bottleneck,edge_a,edge_a_access,False,2,edge_a,edge_a_access
bottleneck,edge_a_access,edge_a,False,2,edge_a,edge_a_access
bottleneck,edge_a_access,edge_switch,False,1,edge_a_access,edge_switch
bottleneck,edge_switch,edge_a_access,False,1,edge_a_access,edge_switch
bottleneck,edge_switch,edge_b_access,False,1,edge_b_access,edge_switch
bottleneck,edge_switch,bottleneck,False,10,edge_switch,bottleneck
bottleneck,edge_b,edge_b_access,False,2,edge_b,edge_b_access
bottleneck,edge_b_access,edge_b,False,2,edge_b,edge_b_access
bottleneck,edge_b_access,edge_switch,False,1,edge_b_access,edge_switch
bottleneck,bottleneck,edge_switch,False,10,edge_switch,bottleneck
bottleneck,bottleneck,cloud_switch,False,20,bottleneck,cloud_switch
bottleneck,cloud_switch,bottleneck,False,20,bottleneck,cloud_switch
bottleneck,cloud_switch,cloud_access,False,3,cloud_switch,cloud_access
bottleneck,cloud_access,cloud_switch,False,3,cloud_switch,cloud_access
bottleneck,cloud_access,cloud_node,False,2,cloud_access,cloud_node
bottleneck,cloud_node,cloud_access,False,2,cloud_access,cloud_node
urban_sensing,rpi3_0,link_rpi3_0,False,0,rpi3_0,link_rpi3_0
urban_sensing,link_rpi3_0,rpi3_0,False,0,rpi3_0,link_rpi3_0
urban_sensing,link_rpi3_0,switch_lan_0,False,0,link_rpi3_0,switch_lan_0
urban_sensing,switch_lan_0,link_rpi3_0,False,0,link_rpi3_0,switch_lan_0
urban_sensing,switch_lan_0,link_rpi3_1,False,0,link_rpi3_1,switch_lan_0
urban_sensing,switch_lan_0,shared_0,False,0,switch_lan_0,shared_0
urban_sensing,rpi3_1,link_rpi3_1,False,0,rpi3_1,link_rpi3_1
urban_sensing,link_rpi3_1,rpi3_1,False,0,rpi3_1,link_rpi3_1
urban_sensing,link_rpi3_1,switch_lan_0,False,0,link_rpi3_1,switch_lan_0
urban_sensing,shared_0,switch_lan_0,False,0,switch_lan_0,shared_0
urban_sensing,shared_0,switch_lan_1,False,0,switch_lan_1,shared_0
urban_sensing,shared_0,switch_lan_2,False,0,switch_lan_2,shared_0
urban_sensing,shared_0,switch_lan_3,False,0,switch_lan_3,shared_0
urban_sensing,shared_0,up_shared_0,True,0,shared_0,up_shared_0
urban_sensing,rpi3_2,link_rpi3_2,False,0,rpi3_2,link_rpi3_2
urban_sensing,link_rpi3_2,rpi3_2,False,0,rpi3_2,link_rpi3_2
urban_sensing,link_rpi3_2,switch_lan_1,False,0,link_rpi3_2,switch_lan_1
urban_sensing,switch_lan_1,link_rpi3_2,False,0,link_rpi3_2,switch_lan_1
urban_sensing,switch_lan_1,link_rpi3_3,False,0,link_rpi3_3,switch_lan_1
urban_sensing,switch_lan_1,shared_0,False,0,switch_lan_1,shared_0
urban_sensing,rpi3_3,link_rpi3_3,False,0,rpi3_3,link_rpi3_3
