topology,name,object_type,arch,bandwidth,tags
minimal,edge_node,node,x86,,
minimal,direct_link,link,,100.0,"{'name': 'direct_link', 'type': 'direct'}"
minimal,cloud_node,node,x86,,
edge_cloud_star,edge_0,node,x86,,
edge_cloud_star,access_0,link,,100.0,"{'name': 'access_0', 'type': 'edge_access'}"
edge_cloud_star,edge_switch,switch,,,
edge_cloud_star,edge_1,node,x86,,
edge_cloud_star,access_1,link,,100.0,"{'name': 'access_1', 'type': 'edge_access'}"
edge_cloud_star,edge_2,node,x86,,
edge_cloud_star,access_2,link,,100.0,"{'name': 'access_2', 'type': 'edge_access'}"
edge_cloud_star,edge_3,node,x86,,
edge_cloud_star,access_3,link,,100.0,"{'name': 'access_3', 'type': 'edge_access'}"
edge_cloud_star,backbone,link,,50.0,"{'name': 'backbone', 'type': 'cloud_edge_backbone'}"
edge_cloud_star,cloud_switch,switch,,,
edge_cloud_star,cloud_access,link,,200.0,"{'name': 'cloud_access', 'type': 'cloud_access'}"
edge_cloud_star,cloud_node,node,x86,,
bottleneck,edge_a,node,x86,,
bottleneck,edge_a_access,link,,100.0,"{'name': 'edge_a_access', 'type': 'access'}"
bottleneck,edge_switch,switch,,,
bottleneck,edge_b,node,x86,,
bottleneck,edge_b_access,link,,100.0,"{'name': 'edge_b_access', 'type': 'access'}"
bottleneck,bottleneck,link,,10.0,"{'name': 'bottleneck', 'type': 'shared_bottleneck'}"
bottleneck,cloud_switch,switch,,,
bottleneck,cloud_access,link,,80.0,"{'name': 'cloud_access', 'type': 'cloud_access'}"
bottleneck,cloud_node,node,x86,,
urban_sensing,rpi3_0,node,arm32,,
urban_sensing,link_rpi3_0,link,,1000.0,"{'name': 'link_rpi3_0', 'type': 'node'}"
urban_sensing,switch_lan_0,switch,,,
urban_sensing,rpi3_1,node,arm32,,
urban_sensing,link_rpi3_1,link,,1000.0,"{'name': 'link_rpi3_1', 'type': 'node'}"
urban_sensing,shared_0,link,,500.0,"{'name': 'shared_0', 'type': 'shared'}"
urban_sensing,rpi3_2,node,arm32,,
urban_sensing,link_rpi3_2,link,,1000.0,"{'name': 'link_rpi3_2', 'type': 'node'}"
urban_sensing,switch_lan_1,switch,,,
urban_sensing,rpi3_3,node,arm32,,
urban_sensing,link_rpi3_3,link,,1000.0,"{'name': 'link_rpi3_3', 'type': 'node'}"
urban_sensing,nuc_0,node,x86,,
urban_sensing,link_nuc_0,link,,1000.0,"{'name': 'link_nuc_0', 'type': 'node'}"
urban_sensing,switch_lan_2,switch,,,
urban_sensing,tx2_0,node,aarch64,,
urban_sensing,link_tx2_0,link,,1000.0,"{'name': 'link_tx2_0', 'type': 'node'}"
urban_sensing,tx2_1,node,aarch64,,
urban_sensing,link_tx2_1,link,,1000.0,"{'name': 'link_tx2_1', 'type': 'node'}"
urban_sensing,tx2_2,node,aarch64,,
urban_sensing,link_tx2_2,link,,1000.0,"{'name': 'link_tx2_2', 'type': 'node'}"
urban_sensing,tx2_3,node,aarch64,,
urban_sensing,link_tx2_3,link,,1000.0,"{'name': 'link_tx2_3', 'type': 'node'}"
urban_sensing,up_shared_0,link,,25.0,"{'type': 'uplink', 'name': 'up_shared_0'}"
urban_sensing,down_shared_0,link,,125.0,"{'type': 'downlink', 'name': 'down_shared_0'}"
urban_sensing,internet,switch,,,
urban_sensing,rpi3_4,node,arm32,,
urban_sensing,link_rpi3_4,link,,1000.0,"{'name': 'link_rpi3_4', 'type': 'node'}"
urban_sensing,switch_lan_3,switch,,,
urban_sensing,rpi3_5,node,arm32,,
urban_sensing,link_rpi3_5,link,,1000.0,"{'name': 'link_rpi3_5', 'type': 'node'}"
urban_sensing,shared_1,link,,500.0,"{'name': 'shared_1', 'type': 'shared'}"
urban_sensing,rpi3_6,node,arm32,,
urban_sensing,link_rpi3_6,link,,1000.0,"{'name': 'link_rpi3_6', 'type': 'node'}"
urban_sensing,switch_lan_4,switch,,,
urban_sensing,rpi3_7,node,arm32,,
urban_sensing,link_rpi3_7,link,,1000.0,"{'name': 'link_rpi3_7', 'type': 'node'}"
urban_sensing,rpi3_8,node,arm32,,
urban_sensing,link_rpi3_8,link,,1000.0,"{'name': 'link_rpi3_8', 'type': 'node'}"
urban_sensing,switch_lan_5,switch,,,
urban_sensing,rpi3_9,node,arm32,,
urban_sensing,link_rpi3_9,link,,1000.0,"{'name': 'link_rpi3_9', 'type': 'node'}"
urban_sensing,nuc_1,node,x86,,
urban_sensing,link_nuc_1,link,,1000.0,"{'name': 'link_nuc_1', 'type': 'node'}"
urban_sensing,switch_lan_6,switch,,,
urban_sensing,tx2_4,node,aarch64,,
urban_sensing,link_tx2_4,link,,1000.0,"{'name': 'link_tx2_4', 'type': 'node'}"
urban_sensing,tx2_5,node,aarch64,,
urban_sensing,link_tx2_5,link,,1000.0,"{'name': 'link_tx2_5', 'type': 'node'}"
urban_sensing,tx2_6,node,aarch64,,
urban_sensing,link_tx2_6,link,,1000.0,"{'name': 'link_tx2_6', 'type': 'node'}"
urban_sensing,tx2_7,node,aarch64,,
urban_sensing,link_tx2_7,link,,1000.0,"{'name': 'link_tx2_7', 'type': 'node'}"
urban_sensing,tx2_8,node,aarch64,,
urban_sensing,link_tx2_8,link,,1000.0,"{'name': 'link_tx2_8', 'type': 'node'}"
urban_sensing,tx2_9,node,aarch64,,
urban_sensing,link_tx2_9,link,,1000.0,"{'name': 'link_tx2_9', 'type': 'node'}"
urban_sensing,up_shared_1,link,,25.0,"{'type': 'uplink', 'name': 'up_shared_1'}"
urban_sensing,down_shared_1,link,,125.0,"{'type': 'downlink', 'name': 'down_shared_1'}"
urban_sensing,rpi3_10,node,arm32,,
urban_sensing,link_rpi3_10,link,,1000.0,"{'name': 'link_rpi3_10', 'type': 'node'}"
urban_sensing,switch_lan_7,switch,,,
urban_sensing,rpi3_11,node,arm32,,
urban_sensing,link_rpi3_11,link,,1000.0,"{'name': 'link_rpi3_11', 'type': 'node'}"
urban_sensing,shared_2,link,,500.0,"{'name': 'shared_2', 'type': 'shared'}"
urban_sensing,rpi3_12,node,arm32,,
urban_sensing,link_rpi3_12,link,,1000.0,"{'name': 'link_rpi3_12', 'type': 'node'}"
urban_sensing,switch_lan_8,switch,,,
urban_sensing,rpi3_13,node,arm32,,
urban_sensing,link_rpi3_13,link,,1000.0,"{'name': 'link_rpi3_13', 'type': 'node'}"
urban_sensing,rpi3_14,node,arm32,,
urban_sensing,link_rpi3_14,link,,1000.0,"{'name': 'link_rpi3_14', 'type': 'node'}"
urban_sensing,switch_lan_9,switch,,,
urban_sensing,rpi3_15,node,arm32,,
urban_sensing,link_rpi3_15,link,,1000.0,"{'name': 'link_rpi3_15', 'type': 'node'}"
urban_sensing,nuc_2,node,x86,,
urban_sensing,link_nuc_2,link,,1000.0,"{'name': 'link_nuc_2', 'type': 'node'}"
urban_sensing,switch_lan_10,switch,,,
urban_sensing,tx2_10,node,aarch64,,
urban_sensing,link_tx2_10,link,,1000.0,"{'name': 'link_tx2_10', 'type': 'node'}"
urban_sensing,tx2_11,node,aarch64,,
urban_sensing,link_tx2_11,link,,1000.0,"{'name': 'link_tx2_11', 'type': 'node'}"
urban_sensing,tx2_12,node,aarch64,,
urban_sensing,link_tx2_12,link,,1000.0,"{'name': 'link_tx2_12', 'type': 'node'}"
urban_sensing,tx2_13,node,aarch64,,
urban_sensing,link_tx2_13,link,,1000.0,"{'name': 'link_tx2_13', 'type': 'node'}"
urban_sensing,tx2_14,node,aarch64,,
urban_sensing,link_tx2_14,link,,1000.0,"{'name': 'link_tx2_14', 'type': 'node'}"
urban_sensing,tx2_15,node,aarch64,,
urban_sensing,link_tx2_15,link,,1000.0,"{'name': 'link_tx2_15', 'type': 'node'}"
urban_sensing,up_shared_2,link,,25.0,"{'type': 'uplink', 'name': 'up_shared_2'}"
urban_sensing,down_shared_2,link,,125.0,"{'type': 'downlink', 'name': 'down_shared_2'}"
urban_sensing,server_0,node,x86,,
urban_sensing,link_server_0,link,,1000.0,"{'name': 'link_server_0', 'type': 'node'}"
urban_sensing,switch_lan_11,switch,,,
urban_sensing,server_1,node,x86,,
urban_sensing,link_server_1,link,,1000.0,"{'name': 'link_server_1', 'type': 'node'}"
urban_sensing,server_2,node,x86,,
urban_sensing,link_server_2,link,,1000.0,"{'name': 'link_server_2', 'type': 'node'}"
