metric,value,note
total_runs,8,分析的 run 总数（每个 case 一行）
total_policies,2,策略数（聚合维度）
total_workloads,2,负载数（聚合维度）
total_seeds,2,随机种子数
total_invocations,144,跨所有 run 的总 invoke 次数
total_probes,144,跨所有 run 的总 probe 次数（应 == total_invocations）
comparison_row_count,2,experiment_policy_comparison.csv 的行数（baseline 自身被跳过，应 == (policies-1) × workloads）
scheduled_nodes__default_skippy,server_1,default_skippy 策略实际选过的节点集合（聚合自 4 个 run）
high_capacity_hit_ratio__default_skippy,1.0,default_skippy 策略选中 server_1 的比例（应 = 1.0，表示 capacity-aware 策略全部选中 server_1）
scheduled_nodes__fixed_node,server_0,fixed_node 策略实际选过的节点集合（聚合自 4 个 run）
high_capacity_hit_ratio__fixed_node,0.0,fixed_node 策略选中 server_1 的比例（应 = 0.0，表示 fixed_node 策略不会选中 server_1）
default_skippy__avg_probe_seconds__low_load,0.2210785899045785,default_skippy 策略在 low_load 下的 mean_probe_avg_duration（sim 模型诚实特性：capacity 不改 single-invoke duration）
default_skippy__avg_probe_seconds__medium_load,0.21973930192886254,default_skippy 策略在 medium_load 下的 mean_probe_avg_duration（sim 模型诚实特性：capacity 不改 single-invoke duration）
fixed_node__avg_probe_seconds__low_load,0.2210785899045785,fixed_node 策略在 low_load 下的 mean_probe_avg_duration（sim 模型诚实特性：capacity 不改 single-invoke duration）
fixed_node__avg_probe_seconds__medium_load,0.21973930192886254,fixed_node 策略在 medium_load 下的 mean_probe_avg_duration（sim 模型诚实特性：capacity 不改 single-invoke duration）
speedup_ratio_fixed_over_default_skippy__low_load,1.0,在 low_load 下，fixed_node / default_skippy 的 probe_avg_duration 比值（应 = 1.0，sim 诚实特性）
speedup_ratio_fixed_over_default_skippy__medium_load,1.0,在 medium_load 下，fixed_node / default_skippy 的 probe_avg_duration 比值（应 = 1.0，sim 诚实特性）
fixed_node_vs_default_skippy__probe_avg_duration_relative__low_load,0.0,fixed_node 相对 default_skippy baseline 的 probe_avg_duration 相对变化（应 = 0.0，sim 诚实特性）
fixed_node_vs_default_skippy__probe_avg_duration_relative__medium_load,0.0,fixed_node 相对 default_skippy baseline 的 probe_avg_duration 相对变化（应 = 0.0，sim 诚实特性）
