time,simtime,base_duration,runtime_factor,network_delay,final_duration,phase_name,controller_action,function_name,request_id,node_name,replica_id
2026-07-08 01:11:33.979889,0.8333333333333333,0.18,1.0,0.0,0.18,normal,observe,cosim-python-pi,1,server_0,2001279917008
2026-07-08 01:11:33.980161,1.1666666666666665,0.18,1.0,0.0,0.18,normal,observe,cosim-python-pi,2,server_0,2001279917008
2026-07-08 01:11:33.980308,1.4999999999999998,0.18,1.0,0.0,0.18,normal,observe,cosim-python-pi,3,server_0,2001279917008
2026-07-08 01:11:33.980466,1.833333333333333,0.18,1.0,0.0,0.18,normal,observe,cosim-python-pi,4,server_0,2001279917008
2026-07-08 01:11:33.980758,2.1666666666666665,0.18,1.35,0.08,0.323,edge_pressure,scale_attention,cosim-python-pi,5,server_0,2001279917008
2026-07-08 01:11:33.980998,2.5,0.18,1.35,0.08,0.323,edge_pressure,scale_attention,cosim-python-pi,6,server_0,2001279917008
2026-07-08 01:11:33.981114,2.625,0.18,1.35,0.08,0.323,edge_pressure,scale_attention,cosim-python-pi,7,server_0,2001279917008
2026-07-08 01:11:33.981299,2.75,0.18,1.35,0.08,0.323,edge_pressure,scale_attention,cosim-python-pi,8,server_0,2001279917008
2026-07-08 01:11:33.981432,2.875,0.18,1.35,0.08,0.323,edge_pressure,scale_attention,cosim-python-pi,9,server_0,2001279917008
2026-07-08 01:11:33.981681,3.0,0.18,1.35,0.08,0.323,edge_pressure,scale_attention,cosim-python-pi,10,server_0,2001280075824
2026-07-08 01:11:33.981832,3.125,0.18,1.35,0.08,0.323,edge_pressure,scale_attention,cosim-python-pi,11,server_0,2001279917008
2026-07-08 01:11:33.981968,3.25,0.18,1.35,0.08,0.323,edge_pressure,scale_attention,cosim-python-pi,12,server_0,2001280075824
2026-07-08 01:11:33.982100,3.375,0.18,1.35,0.08,0.323,edge_pressure,scale_attention,cosim-python-pi,13,server_0,2001279917008
2026-07-08 01:11:33.982258,3.5,0.18,1.35,0.08,0.323,edge_pressure,scale_attention,cosim-python-pi,14,server_0,2001280075824
2026-07-08 01:11:33.982399,3.625,0.18,1.35,0.08,0.323,edge_pressure,scale_attention,cosim-python-pi,15,server_0,2001279917008
2026-07-08 01:11:33.982533,3.75,0.18,1.35,0.08,0.323,edge_pressure,scale_attention,cosim-python-pi,16,server_0,2001280075824
2026-07-08 01:11:33.982663,3.875,0.18,1.35,0.08,0.323,edge_pressure,scale_attention,cosim-python-pi,17,server_0,2001279917008
2026-07-08 01:11:33.982971,4.0,0.18,1.1,0.25,0.448,network_slowdown,network_attention,cosim-python-pi,18,server_0,2001280075824
2026-07-08 01:11:33.983106,4.125,0.18,1.1,0.25,0.448,network_slowdown,network_attention,cosim-python-pi,19,server_0,2001279917008
2026-07-08 01:11:33.983238,4.25,0.18,1.1,0.25,0.448,network_slowdown,network_attention,cosim-python-pi,20,server_0,2001280075824
2026-07-08 01:11:33.983352,4.375,0.18,1.1,0.25,0.448,network_slowdown,network_attention,cosim-python-pi,21,server_0,2001279917008
2026-07-08 01:11:33.983589,4.5,0.18,1.1,0.25,0.448,network_slowdown,network_attention,cosim-python-pi,22,server_0,2001280075824
2026-07-08 01:11:33.983781,4.7,0.18,1.1,0.25,0.448,network_slowdown,network_attention,cosim-python-pi,23,server_0,2001279917008
2026-07-08 01:11:33.983912,4.9,0.18,1.1,0.25,0.448,network_slowdown,network_attention,cosim-python-pi,24,server_0,2001280075824
2026-07-08 01:11:33.984139,5.1000000000000005,0.18,1.1,0.25,0.448,network_slowdown,network_attention,cosim-python-pi,25,server_0,2001279917008
2026-07-08 01:11:33.984274,5.300000000000001,0.18,1.1,0.25,0.448,network_slowdown,network_attention,cosim-python-pi,26,server_0,2001280075824
2026-07-08 01:11:33.984438,5.500000000000001,0.18,1.1,0.25,0.448,network_slowdown,network_attention,cosim-python-pi,27,server_0,2001279917008
2026-07-08 01:11:33.984584,5.700000000000001,0.18,1.1,0.25,0.448,network_slowdown,network_attention,cosim-python-pi,28,server_0,2001280075824
2026-07-08 01:11:33.984722,5.900000000000001,0.18,1.1,0.25,0.448,network_slowdown,network_attention,cosim-python-pi,29,server_0,2001279917008
2026-07-08 01:11:33.984924,6.100000000000001,0.18,0.95,0.0,0.17099999999999999,cooldown,release_attention,cosim-python-pi,30,server_0,2001280075824
2026-07-08 01:11:33.985015,6.300000000000002,0.18,0.95,0.0,0.17099999999999999,cooldown,release_attention,cosim-python-pi,31,server_0,2001279917008
2026-07-08 01:11:33.985163,6.500000000000002,0.18,0.95,0.0,0.17099999999999999,cooldown,release_attention,cosim-python-pi,32,server_0,2001280075824
2026-07-08 01:11:33.985288,7.000000000000002,0.18,0.95,0.0,0.17099999999999999,cooldown,release_attention,cosim-python-pi,33,server_0,2001279917008
2026-07-08 01:11:33.985377,7.500000000000002,0.18,0.95,0.0,0.17099999999999999,cooldown,release_attention,cosim-python-pi,34,server_0,2001280075824
2026-07-08 01:11:33.985502,8.000000000000002,0.18,0.95,0.0,0.17099999999999999,cooldown,release_attention,cosim-python-pi,35,server_0,2001279917008
2026-07-08 01:11:33.987859,8.500000000000002,0.18,0.95,0.0,0.17099999999999999,cooldown,release_attention,cosim-python-pi,36,server_0,2001280075824
