policy_name,time,function_name,evicted_function,evicted_memory_units,reason,score,cache_used_after
fifo,1.4,video-transcode,img-resize,1,oldest_inserted,0.0,3
fifo,1.4,video-transcode,json-parse,1,oldest_inserted,0.5,2
fifo,1.4,video-transcode,fft,2,oldest_inserted,0.9,0
fifo,2.0,fft,video-transcode,3,oldest_inserted,1.4,1
fifo,2.5,ml-infer,json-parse,1,oldest_inserted,1.7,3
fifo,2.5,ml-infer,fft,2,oldest_inserted,2.0,1
fifo,3.3,fft,img-resize,1,oldest_inserted,2.2,3
fifo,3.3,fft,ml-infer,2,oldest_inserted,2.5,1
fifo,3.7,video-transcode,json-parse,1,oldest_inserted,2.8,2
fifo,3.7,video-transcode,fft,2,oldest_inserted,3.3,0
fifo,4.2,json-parse,video-transcode,3,oldest_inserted,3.7,1
fifo,5.1,fft,img-resize,1,oldest_inserted,4.0,3
fifo,5.1,fft,json-parse,1,oldest_inserted,4.2,2
fifo,5.4,video-transcode,ml-infer,2,oldest_inserted,4.5,2
fifo,5.4,video-transcode,fft,2,oldest_inserted,5.1,0
fifo,6.0,img-resize,video-transcode,3,oldest_inserted,5.4,1
fifo,6.6,fft,json-parse,1,oldest_inserted,5.8,3
fifo,6.6,fft,img-resize,1,oldest_inserted,6.0,2
fifo,7.0,img-resize,ml-infer,2,oldest_inserted,6.3,2
fifo,7.6,video-transcode,fft,2,oldest_inserted,6.6,2
fifo,7.6,video-transcode,img-resize,1,oldest_inserted,7.0,1
fifo,8.0,img-resize,json-parse,1,oldest_inserted,7.3,3
fifo,8.4,fft,video-transcode,3,oldest_inserted,7.6,1
fifo,8.8,ml-infer,img-resize,1,oldest_inserted,8.0,2
fifo,9.2,json-parse,fft,2,oldest_inserted,8.4,2
lru,1.4,video-transcode,json-parse,1,least_recently_used,0.5,3
lru,1.4,video-transcode,fft,2,least_recently_used,0.9,1
lru,1.7,json-parse,img-resize,1,least_recently_used,1.1,3
lru,2.0,fft,video-transcode,3,least_recently_used,1.4,1
lru,2.5,ml-infer,json-parse,1,least_recently_used,1.7,3
lru,2.5,ml-infer,fft,2,least_recently_used,2.0,1
lru,3.3,fft,ml-infer,2,least_recently_used,2.5,2
lru,3.7,video-transcode,json-parse,1,least_recently_used,2.8,3
lru,3.7,video-transcode,img-resize,1,least_recently_used,3.1,2
lru,3.7,video-transcode,fft,2,least_recently_used,3.3,0
lru,4.2,json-parse,video-transcode,3,least_recently_used,3.7,1
lru,5.1,fft,json-parse,1,least_recently_used,4.2,3
lru,5.1,fft,ml-infer,2,least_recently_used,4.5,1
lru,5.4,video-transcode,img-resize,1,least_recently_used,4.8,2
lru,5.4,video-transcode,fft,2,least_recently_used,5.1,0
lru,6.0,img-resize,video-transcode,3,least_recently_used,5.4,1
lru,6.6,fft,json-parse,1,least_recently_used,5.8,3
lru,6.6,fft,img-resize,1,least_recently_used,6.0,2
lru,7.0,img-resize,ml-infer,2,least_recently_used,6.3,2
lru,7.6,video-transcode,fft,2,least_recently_used,6.6,2
lru,7.6,video-transcode,img-resize,1,least_recently_used,7.0,1
lru,8.0,img-resize,json-parse,1,least_recently_used,7.3,3
lru,8.4,fft,video-transcode,3,least_recently_used,7.6,1
lru,8.8,ml-infer,img-resize,1,least_recently_used,8.0,2
lru,9.2,json-parse,fft,2,least_recently_used,8.4,2
utility_aware,1.4,video-transcode,json-parse,1,lowest_utility,0.7,3
utility_aware,1.4,video-transcode,fft,2,lowest_utility,1.4,1
utility_aware,1.7,json-parse,video-transcode,3,lowest_utility,1.4666666666666668,1
utility_aware,2.5,ml-infer,json-parse,1,lowest_utility,0.7,3
utility_aware,2.5,ml-infer,fft,2,lowest_utility,1.4,1
utility_aware,3.3,fft,json-parse,1,lowest_utility,0.7,3
utility_aware,3.3,fft,ml-infer,2,lowest_utility,1.9,1
utility_aware,3.7,video-transcode,fft,2,lowest_utility,1.4,1
utility_aware,4.2,json-parse,video-transcode,3,lowest_utility,1.4666666666666668,1
utility_aware,5.1,fft,json-parse,1,lowest_utility,0.7,3
utility_aware,5.1,fft,ml-infer,2,lowest_utility,1.9,1
utility_aware,5.4,video-transcode,fft,2,lowest_utility,1.4,1
utility_aware,5.8,json-parse,video-transcode,3,lowest_utility,1.4666666666666668,1
utility_aware,6.6,fft,json-parse,1,lowest_utility,0.7,3
utility_aware,6.6,fft,ml-infer,2,lowest_utility,1.9,1
utility_aware,7.6,video-transcode,json-parse,1,lowest_utility,0.7,3
utility_aware,7.6,video-transcode,fft,2,lowest_utility,1.4,1
utility_aware,8.4,fft,video-transcode,3,lowest_utility,1.4666666666666668,1
utility_aware,8.8,ml-infer,fft,2,lowest_utility,1.4,1
