policy_name,time,function_name,evicted_function,state_cache_used,state_cache_keys,eviction_state_match
fifo,1.4,video-transcode,img-resize,3,video-transcode,True
fifo,1.4,video-transcode,json-parse,3,video-transcode,True
fifo,1.4,video-transcode,fft,3,video-transcode,True
fifo,2.0,fft,video-transcode,3,fft;json-parse,True
fifo,2.5,ml-infer,json-parse,3,img-resize;ml-infer,True
fifo,2.5,ml-infer,fft,3,img-resize;ml-infer,True
fifo,3.3,fft,img-resize,3,fft;json-parse,True
fifo,3.3,fft,ml-infer,3,fft;json-parse,True
fifo,3.7,video-transcode,json-parse,3,video-transcode,True
fifo,3.7,video-transcode,fft,3,video-transcode,True
fifo,4.2,json-parse,video-transcode,2,img-resize;json-parse,True
fifo,5.1,fft,img-resize,4,fft;ml-infer,True
fifo,5.1,fft,json-parse,4,fft;ml-infer,True
fifo,5.4,video-transcode,ml-infer,3,video-transcode,True
fifo,5.4,video-transcode,fft,3,video-transcode,True
fifo,6.0,img-resize,video-transcode,2,img-resize;json-parse,True
fifo,6.6,fft,json-parse,4,fft;ml-infer,True
fifo,6.6,fft,img-resize,4,fft;ml-infer,True
fifo,7.0,img-resize,ml-infer,3,fft;img-resize,True
fifo,7.6,video-transcode,fft,4,json-parse;video-transcode,True
fifo,7.6,video-transcode,img-resize,4,json-parse;video-transcode,True
fifo,8.0,img-resize,json-parse,4,img-resize;video-transcode,True
fifo,8.4,fft,video-transcode,3,fft;img-resize,True
fifo,8.8,ml-infer,img-resize,4,fft;ml-infer,True
fifo,9.2,json-parse,fft,3,json-parse;ml-infer,True
lru,1.4,video-transcode,json-parse,4,img-resize;video-transcode,True
lru,1.4,video-transcode,fft,4,img-resize;video-transcode,True
lru,1.7,json-parse,img-resize,4,json-parse;video-transcode,True
lru,2.0,fft,video-transcode,3,fft;json-parse,True
lru,2.5,ml-infer,json-parse,3,img-resize;ml-infer,True
lru,2.5,ml-infer,fft,3,img-resize;ml-infer,True
lru,3.3,fft,ml-infer,4,fft;img-resize;json-parse,True
lru,3.7,video-transcode,json-parse,3,video-transcode,True
lru,3.7,video-transcode,img-resize,3,video-transcode,True
lru,3.7,video-transcode,fft,3,video-transcode,True
lru,4.2,json-parse,video-transcode,2,img-resize;json-parse,True
lru,5.1,fft,json-parse,3,fft;img-resize,True
lru,5.1,fft,ml-infer,3,fft;img-resize,True
lru,5.4,video-transcode,img-resize,3,video-transcode,True
lru,5.4,video-transcode,fft,3,video-transcode,True
lru,6.0,img-resize,video-transcode,2,img-resize;json-parse,True
lru,6.6,fft,json-parse,4,fft;ml-infer,True
lru,6.6,fft,img-resize,4,fft;ml-infer,True
lru,7.0,img-resize,ml-infer,3,fft;img-resize,True
lru,7.6,video-transcode,fft,4,json-parse;video-transcode,True
lru,7.6,video-transcode,img-resize,4,json-parse;video-transcode,True
lru,8.0,img-resize,json-parse,4,img-resize;video-transcode,True
lru,8.4,fft,video-transcode,3,fft;img-resize,True
lru,8.8,ml-infer,img-resize,4,fft;ml-infer,True
lru,9.2,json-parse,fft,3,json-parse;ml-infer,True
utility_aware,1.4,video-transcode,json-parse,4,img-resize;video-transcode,True
utility_aware,1.4,video-transcode,fft,4,img-resize;video-transcode,True
utility_aware,1.7,json-parse,video-transcode,2,img-resize;json-parse,True
utility_aware,2.5,ml-infer,json-parse,3,img-resize;ml-infer,True
utility_aware,2.5,ml-infer,fft,3,img-resize;ml-infer,True
utility_aware,3.3,fft,json-parse,3,fft;img-resize,True
utility_aware,3.3,fft,ml-infer,3,fft;img-resize,True
utility_aware,3.7,video-transcode,fft,4,img-resize;video-transcode,True
utility_aware,4.2,json-parse,video-transcode,2,img-resize;json-parse,True
utility_aware,5.1,fft,json-parse,3,fft;img-resize,True
utility_aware,5.1,fft,ml-infer,3,fft;img-resize,True
utility_aware,5.4,video-transcode,fft,4,img-resize;video-transcode,True
utility_aware,5.8,json-parse,video-transcode,2,img-resize;json-parse,True
utility_aware,6.6,fft,json-parse,3,fft;img-resize,True
utility_aware,6.6,fft,ml-infer,3,fft;img-resize,True
utility_aware,7.6,video-transcode,json-parse,4,img-resize;video-transcode,True
utility_aware,7.6,video-transcode,fft,4,img-resize;video-transcode,True
utility_aware,8.4,fft,video-transcode,3,fft;img-resize,True
utility_aware,8.8,ml-infer,fft,3,img-resize;ml-infer,True
