policy_name,time,request_id,function_name,cache_used,cache_capacity,cache_keys
fifo,0.0,1,img-resize,1,4,img-resize
fifo,0.2,2,img-resize,1,4,img-resize
fifo,0.5,3,json-parse,2,4,img-resize;json-parse
fifo,0.9,4,fft,4,4,fft;img-resize;json-parse
fifo,1.1,5,img-resize,4,4,fft;img-resize;json-parse
fifo,1.4,6,video-transcode,3,4,video-transcode
fifo,1.7,7,json-parse,4,4,json-parse;video-transcode
fifo,2.0,8,fft,3,4,fft;json-parse
fifo,2.2,9,img-resize,4,4,fft;img-resize;json-parse
fifo,2.5,10,ml-infer,3,4,img-resize;ml-infer
fifo,2.8,11,json-parse,4,4,img-resize;json-parse;ml-infer
fifo,3.1,12,img-resize,4,4,img-resize;json-parse;ml-infer
fifo,3.3,13,fft,3,4,fft;json-parse
fifo,3.7,14,video-transcode,3,4,video-transcode
fifo,4.0,15,img-resize,4,4,img-resize;video-transcode
fifo,4.2,16,json-parse,2,4,img-resize;json-parse
fifo,4.5,17,ml-infer,4,4,img-resize;json-parse;ml-infer
fifo,4.8,18,img-resize,4,4,img-resize;json-parse;ml-infer
fifo,5.1,19,fft,4,4,fft;ml-infer
fifo,5.4,20,video-transcode,3,4,video-transcode
fifo,5.8,21,json-parse,4,4,json-parse;video-transcode
fifo,6.0,22,img-resize,2,4,img-resize;json-parse
fifo,6.3,23,ml-infer,4,4,img-resize;json-parse;ml-infer
fifo,6.6,24,fft,4,4,fft;ml-infer
fifo,7.0,25,img-resize,3,4,fft;img-resize
fifo,7.3,26,json-parse,4,4,fft;img-resize;json-parse
fifo,7.6,27,video-transcode,4,4,json-parse;video-transcode
fifo,8.0,28,img-resize,4,4,img-resize;video-transcode
fifo,8.4,29,fft,3,4,fft;img-resize
fifo,8.8,30,ml-infer,4,4,fft;ml-infer
fifo,9.2,31,json-parse,3,4,json-parse;ml-infer
fifo,9.5,32,img-resize,4,4,img-resize;json-parse;ml-infer
lru,0.0,1,img-resize,1,4,img-resize
lru,0.2,2,img-resize,1,4,img-resize
lru,0.5,3,json-parse,2,4,img-resize;json-parse
lru,0.9,4,fft,4,4,fft;img-resize;json-parse
lru,1.1,5,img-resize,4,4,fft;img-resize;json-parse
lru,1.4,6,video-transcode,4,4,img-resize;video-transcode
lru,1.7,7,json-parse,4,4,json-parse;video-transcode
lru,2.0,8,fft,3,4,fft;json-parse
lru,2.2,9,img-resize,4,4,fft;img-resize;json-parse
lru,2.5,10,ml-infer,3,4,img-resize;ml-infer
lru,2.8,11,json-parse,4,4,img-resize;json-parse;ml-infer
lru,3.1,12,img-resize,4,4,img-resize;json-parse;ml-infer
lru,3.3,13,fft,4,4,fft;img-resize;json-parse
lru,3.7,14,video-transcode,3,4,video-transcode
lru,4.0,15,img-resize,4,4,img-resize;video-transcode
lru,4.2,16,json-parse,2,4,img-resize;json-parse
lru,4.5,17,ml-infer,4,4,img-resize;json-parse;ml-infer
lru,4.8,18,img-resize,4,4,img-resize;json-parse;ml-infer
lru,5.1,19,fft,3,4,fft;img-resize
lru,5.4,20,video-transcode,3,4,video-transcode
lru,5.8,21,json-parse,4,4,json-parse;video-transcode
lru,6.0,22,img-resize,2,4,img-resize;json-parse
lru,6.3,23,ml-infer,4,4,img-resize;json-parse;ml-infer
lru,6.6,24,fft,4,4,fft;ml-infer
lru,7.0,25,img-resize,3,4,fft;img-resize
lru,7.3,26,json-parse,4,4,fft;img-resize;json-parse
lru,7.6,27,video-transcode,4,4,json-parse;video-transcode
lru,8.0,28,img-resize,4,4,img-resize;video-transcode
lru,8.4,29,fft,3,4,fft;img-resize
lru,8.8,30,ml-infer,4,4,fft;ml-infer
lru,9.2,31,json-parse,3,4,json-parse;ml-infer
lru,9.5,32,img-resize,4,4,img-resize;json-parse;ml-infer
utility_aware,0.0,1,img-resize,1,4,img-resize
utility_aware,0.2,2,img-resize,1,4,img-resize
utility_aware,0.5,3,json-parse,2,4,img-resize;json-parse
utility_aware,0.9,4,fft,4,4,fft;img-resize;json-parse
utility_aware,1.1,5,img-resize,4,4,fft;img-resize;json-parse
utility_aware,1.4,6,video-transcode,4,4,img-resize;video-transcode
utility_aware,1.7,7,json-parse,2,4,img-resize;json-parse
utility_aware,2.0,8,fft,4,4,fft;img-resize;json-parse
utility_aware,2.2,9,img-resize,4,4,fft;img-resize;json-parse
utility_aware,2.5,10,ml-infer,3,4,img-resize;ml-infer
utility_aware,2.8,11,json-parse,4,4,img-resize;json-parse;ml-infer
utility_aware,3.1,12,img-resize,4,4,img-resize;json-parse;ml-infer
utility_aware,3.3,13,fft,3,4,fft;img-resize
utility_aware,3.7,14,video-transcode,4,4,img-resize;video-transcode
utility_aware,4.0,15,img-resize,4,4,img-resize;video-transcode
utility_aware,4.2,16,json-parse,2,4,img-resize;json-parse
utility_aware,4.5,17,ml-infer,4,4,img-resize;json-parse;ml-infer
utility_aware,4.8,18,img-resize,4,4,img-resize;json-parse;ml-infer
utility_aware,5.1,19,fft,3,4,fft;img-resize
utility_aware,5.4,20,video-transcode,4,4,img-resize;video-transcode
utility_aware,5.8,21,json-parse,2,4,img-resize;json-parse
utility_aware,6.0,22,img-resize,2,4,img-resize;json-parse
utility_aware,6.3,23,ml-infer,4,4,img-resize;json-parse;ml-infer
utility_aware,6.6,24,fft,3,4,fft;img-resize
utility_aware,7.0,25,img-resize,3,4,fft;img-resize
utility_aware,7.3,26,json-parse,4,4,fft;img-resize;json-parse
utility_aware,7.6,27,video-transcode,4,4,img-resize;video-transcode
utility_aware,8.0,28,img-resize,4,4,img-resize;video-transcode
utility_aware,8.4,29,fft,3,4,fft;img-resize
utility_aware,8.8,30,ml-infer,3,4,img-resize;ml-infer
utility_aware,9.2,31,json-parse,4,4,img-resize;json-parse;ml-infer
utility_aware,9.5,32,img-resize,4,4,img-resize;json-parse;ml-infer
