value,function_name,node_name,replica_id
deploy,fft,server_1,2193386534848
startup,fft,server_1,2193386534848
setup,fft,server_1,2193386534848
finish,fft,server_1,2193386534848
deploy,img-resize,server_0,2193387520400
startup,img-resize,server_0,2193387520400
setup,img-resize,server_0,2193387520400
finish,img-resize,server_0,2193387520400
deploy,json-parse,server_0,2193387522416
startup,json-parse,server_0,2193387522416
setup,json-parse,server_0,2193387522416
finish,json-parse,server_0,2193387522416
deploy,ml-infer,server_2,2193387524288
startup,ml-infer,server_2,2193387524288
setup,ml-infer,server_2,2193387524288
finish,ml-infer,server_2,2193387524288
