value,function_name,image,replica_id,node_name,successful
queue,fft,fft-cache-aware-cpu,2255235294192,,
start,fft,fft-cache-aware-cpu,2255235294192,,
finish,fft,fft-cache-aware-cpu,2255235294192,server_1,True
queue,img-resize,img-resize-cache-aware-cpu,2255235687216,,
start,img-resize,img-resize-cache-aware-cpu,2255235687216,,
finish,img-resize,img-resize-cache-aware-cpu,2255235687216,server_0,True
queue,json-parse,json-parse-cache-aware-cpu,2255235635664,,
start,json-parse,json-parse-cache-aware-cpu,2255235635664,,
finish,json-parse,json-parse-cache-aware-cpu,2255235635664,server_0,True
queue,ml-infer,ml-infer-cache-aware-cpu,2255235638656,,
start,ml-infer,ml-infer-cache-aware-cpu,2255235638656,,
finish,ml-infer,ml-infer-cache-aware-cpu,2255235638656,server_2,True
