value,function_name,node_name,replica_id
deploy,fft,server_0,2193386501552
startup,fft,server_0,2193386501552
setup,fft,server_0,2193386501552
finish,fft,server_0,2193386501552
deploy,img-resize,server_1,2193386490944
startup,img-resize,server_1,2193386490944
setup,img-resize,server_1,2193386490944
finish,img-resize,server_1,2193386490944
deploy,json-parse,server_2,2193386241424
startup,json-parse,server_2,2193386241424
setup,json-parse,server_2,2193386241424
finish,json-parse,server_2,2193386241424
deploy,ml-infer,server_3,2193386237008
startup,ml-infer,server_3,2193386237008
setup,ml-infer,server_3,2193386237008
finish,ml-infer,server_3,2193386237008
