value,function_name,image,replica_id,node_name,successful
queue,fft,fft-cache-aware-cpu,2255235206176,,
start,fft,fft-cache-aware-cpu,2255235206176,,
finish,fft,fft-cache-aware-cpu,2255235206176,server_0,True
queue,img-resize,img-resize-cache-aware-cpu,2255235254224,,
start,img-resize,img-resize-cache-aware-cpu,2255235254224,,
finish,img-resize,img-resize-cache-aware-cpu,2255235254224,server_1,True
queue,json-parse,json-parse-cache-aware-cpu,2255235259344,,
start,json-parse,json-parse-cache-aware-cpu,2255235259344,,
finish,json-parse,json-parse-cache-aware-cpu,2255235259344,server_2,True
queue,ml-infer,ml-infer-cache-aware-cpu,2255234514144,,
start,ml-infer,ml-infer-cache-aware-cpu,2255234514144,,
finish,ml-infer,ml-infer-cache-aware-cpu,2255234514144,server_3,True
