time,function_name,current_replicas,warm_replicas,n_req,request_rate,avg_response_time,avg_cold_start,cold_miss_count,memory_units,replica_capacity_rps,in_flight_requests,last_seen_age
0,img-resize,1,1,20,4.0,0.08,0.80,1,1,6.0,0,0.2
0,fft,0,0,4,0.6,0.18,1.40,2,2,2.4,0,0.5
0,json-parse,1,1,8,1.2,0.04,0.35,0,1,10.0,0,0.3
0,video-transcode,1,1,0,0.0,0.45,2.20,0,3,1.0,0,8.0
1,img-resize,1,1,34,7.5,0.09,0.80,2,1,6.0,1,0.1
1,fft,1,1,12,2.7,0.20,1.40,4,2,2.4,0,0.2
1,json-parse,1,1,14,2.0,0.05,0.35,1,1,10.0,0,0.2
1,video-transcode,1,1,1,0.2,0.45,2.20,0,3,1.0,0,4.0
2,img-resize,2,2,48,11.0,0.10,0.80,1,1,6.0,2,0.1
2,fft,2,2,20,5.2,0.22,1.40,3,2,2.4,1,0.1
2,json-parse,1,1,12,1.5,0.04,0.35,0,1,10.0,0,0.4
2,video-transcode,1,1,0,0.0,0.45,2.20,0,3,1.0,0,10.0
3,img-resize,2,2,18,3.2,0.08,0.80,0,1,6.0,0,0.5
3,fft,3,3,8,1.1,0.19,1.40,0,2,2.4,0,1.0
3,json-parse,1,1,5,0.5,0.04,0.35,0,1,10.0,0,1.2
3,video-transcode,1,1,0,0.0,0.45,2.20,0,3,1.0,0,12.0
4,img-resize,1,1,8,1.0,0.08,0.80,0,1,6.0,0,2.0
4,fft,1,1,2,0.2,0.18,1.40,0,2,2.4,0,4.5
4,json-parse,1,1,2,0.2,0.04,0.35,0,1,10.0,0,3.0
4,video-transcode,1,1,0,0.0,0.45,2.20,0,3,1.0,0,15.0
