time,function_name,action,plan_action,target_replicas,r_desired,safe_to_execute,executor_required,in_flight_requests,match,detail
0.0,fft,scale_out,scale_out,1,1,True,True,0,True,ok
0.0,img-resize,protect,protect,1,1,True,False,0,True,ok
0.0,json-parse,protect,protect,1,1,True,False,0,True,ok
0.0,video-transcode,scale_in,scale_in,0,0,True,True,0,True,ok
1.0,fft,scale_out,scale_out,2,2,True,True,0,True,ok
1.0,img-resize,scale_out,scale_out,2,2,True,True,1,True,ok
1.0,json-parse,protect,protect,1,1,True,False,0,True,ok
1.0,video-transcode,protect,protect,1,1,True,False,0,True,ok
2.0,fft,scale_out,scale_out,4,4,True,True,1,True,ok
2.0,img-resize,scale_out,scale_out,3,3,True,True,2,True,ok
2.0,json-parse,protect,protect,1,1,True,False,0,True,ok
2.0,video-transcode,scale_in,scale_in,0,0,True,True,0,True,ok
3.0,fft,scale_in,scale_in,1,1,True,True,0,True,ok
3.0,img-resize,scale_in,scale_in,1,1,True,True,0,True,ok
3.0,json-parse,protect,protect,1,1,True,False,0,True,ok
3.0,video-transcode,scale_in,scale_in,0,0,True,True,0,True,ok
4.0,fft,protect,protect,1,1,True,False,0,True,ok
4.0,img-resize,protect,protect,1,1,True,False,0,True,ok
4.0,json-parse,observe,observe,1,1,True,False,0,True,ok
4.0,video-transcode,scale_in,scale_in,0,0,True,True,0,True,ok
