name,status,detail
request_result_row_count,PASS,"requests=60, expected=60"
policy_decision_row_count,PASS,"decisions=60, requests=60"
policy_summary_row_count,PASS,"summary rows=2, expected=2"
policy_request_count__cold_start_aware,PASS,"request_count=30, expected=30"
policy_request_count__fixed_keep_alive,PASS,"request_count=30, expected=30"
function_summary_total_requests__cold_start_aware,PASS,"sum=30, expected=30"
function_summary_total_requests__fixed_keep_alive,PASS,"sum=30, expected=30"
request_decision_join_row_count,PASS,"join rows=60, requests=60"
request_decision_consistency,PASS,matched=60/60
eviction_state_join_row_count,PASS,"join rows=46, evictions=46"
eviction_state_consistency,PASS,matched=46/46
paper_highlight_metric_count,PASS,"paper_highlight metrics=21, expected=21"
paper_highlight_hit_rate__cold_start_aware,PASS,"summary=0.233333, highlight=0.233333"
paper_highlight_hit_rate__fixed_keep_alive,PASS,"summary=0.133333, highlight=0.133333"
paper_highlight_hit_rate_ratio,PASS,"highlight=1.750000, expected=1.750000"
cold_start_aware_beats_fixed_keep_alive,PASS,"cold_start_aware=0.2333, fixed=0.1333 (cold_start_aware 应 >= fixed)"
export_tables_have_no_index_column,PASS,no pandas index columns
