policy_name,time,function_name,evicted_function,reason,utility,cache_used_after
fixed_keep_alive,1.4,video-transcode,json-parse,capacity_pressure,0.35,3
fixed_keep_alive,1.4,video-transcode,fft,capacity_pressure,0.7,1
fixed_keep_alive,1.7,json-parse,img-resize,capacity_pressure,0.8,3
fixed_keep_alive,2.0,fft,video-transcode,capacity_pressure,0.7333333333333334,1
fixed_keep_alive,2.8,ml-infer,json-parse,capacity_pressure,0.35,3
fixed_keep_alive,2.8,ml-infer,fft,capacity_pressure,0.7,1
fixed_keep_alive,3.8,thumbnail,ml-infer,capacity_pressure,0.95,2
fixed_keep_alive,4.2,fft,json-parse,capacity_pressure,0.35,2
fixed_keep_alive,4.7,video-transcode,img-resize,capacity_pressure,0.8,3
fixed_keep_alive,4.7,video-transcode,thumbnail,capacity_pressure,0.5,2
fixed_keep_alive,4.7,video-transcode,fft,capacity_pressure,0.7,0
fixed_keep_alive,5.5,json-parse,video-transcode,capacity_pressure,0.7333333333333334,1
fixed_keep_alive,6.8,fft,json-parse,capacity_pressure,0.35,3
fixed_keep_alive,6.8,fft,ml-infer,capacity_pressure,0.95,1
fixed_keep_alive,8.0,video-transcode,img-resize,capacity_pressure,0.8,3
fixed_keep_alive,8.0,video-transcode,fft,capacity_pressure,0.7,1
fixed_keep_alive,8.6,json-parse,thumbnail,capacity_pressure,0.5,3
fixed_keep_alive,9.1,img-resize,video-transcode,capacity_pressure,0.7333333333333334,1
fixed_keep_alive,10.2,fft,json-parse,capacity_pressure,0.35,3
fixed_keep_alive,10.2,fft,img-resize,capacity_pressure,0.8,2
fixed_keep_alive,10.8,img-resize,ml-infer,capacity_pressure,0.95,2
fixed_keep_alive,12.0,thumbnail,fft,capacity_pressure,0.7,2
fixed_keep_alive,12.8,img-resize,img-resize,keep_alive_expired,0.8,2
fixed_keep_alive,12.8,video-transcode,json-parse,capacity_pressure,0.35,1
cold_start_aware,1.4,video-transcode,json-parse,capacity_pressure,0.42,3
cold_start_aware,1.4,video-transcode,fft,capacity_pressure,0.84,1
cold_start_aware,1.7,json-parse,video-transcode,capacity_pressure,0.88,1
cold_start_aware,2.8,ml-infer,json-parse,capacity_pressure,0.48999999999999994,3
cold_start_aware,2.8,ml-infer,fft,capacity_pressure,0.9799999999999999,1
cold_start_aware,3.8,thumbnail,json-parse,capacity_pressure,0.5599999999999999,3
cold_start_aware,4.2,fft,thumbnail,capacity_pressure,0.6,3
cold_start_aware,4.2,fft,ml-infer,capacity_pressure,1.14,1
cold_start_aware,4.7,video-transcode,fft,capacity_pressure,1.1199999999999999,1
cold_start_aware,5.5,json-parse,video-transcode,capacity_pressure,1.0266666666666666,1
cold_start_aware,6.8,fft,json-parse,capacity_pressure,0.5599999999999999,3
cold_start_aware,6.8,fft,ml-infer,capacity_pressure,1.3299999999999998,1
cold_start_aware,8.0,video-transcode,thumbnail,capacity_pressure,0.7,3
cold_start_aware,8.0,video-transcode,fft,capacity_pressure,1.1199999999999999,1
cold_start_aware,8.6,json-parse,video-transcode,capacity_pressure,1.0266666666666666,1
cold_start_aware,10.2,fft,json-parse,capacity_pressure,0.48999999999999994,3
cold_start_aware,10.2,fft,img-resize,capacity_pressure,1.2800000000000002,2
cold_start_aware,10.8,img-resize,fft,capacity_pressure,0.9799999999999999,2
cold_start_aware,12.0,thumbnail,json-parse,capacity_pressure,0.48999999999999994,3
cold_start_aware,12.8,video-transcode,thumbnail,capacity_pressure,0.7,3
cold_start_aware,12.8,video-transcode,img-resize,capacity_pressure,1.2800000000000002,2
cold_start_aware,12.8,video-transcode,ml-infer,capacity_pressure,1.3299999999999998,0
