policy_name,ev_time,evicted_function,ev_reason,next_dec_warm_keys,match
fixed_keep_alive,1.4,json-parse,capacity_pressure,img-resize;video-transcode,True
fixed_keep_alive,1.4,fft,capacity_pressure,img-resize;video-transcode,True
fixed_keep_alive,1.7,img-resize,capacity_pressure,json-parse;video-transcode,True
fixed_keep_alive,2.0,video-transcode,capacity_pressure,fft;json-parse,True
fixed_keep_alive,2.8,json-parse,capacity_pressure,img-resize;ml-infer,True
fixed_keep_alive,2.8,fft,capacity_pressure,img-resize;ml-infer,True
fixed_keep_alive,3.8,ml-infer,capacity_pressure,img-resize;json-parse;thumbnail,True
fixed_keep_alive,4.2,json-parse,capacity_pressure,fft;img-resize;thumbnail,True
fixed_keep_alive,4.7,img-resize,capacity_pressure,video-transcode,True
fixed_keep_alive,4.7,thumbnail,capacity_pressure,video-transcode,True
fixed_keep_alive,4.7,fft,capacity_pressure,video-transcode,True
fixed_keep_alive,5.5,video-transcode,capacity_pressure,img-resize;json-parse,True
fixed_keep_alive,6.8,json-parse,capacity_pressure,fft;img-resize,True
fixed_keep_alive,6.8,ml-infer,capacity_pressure,fft;img-resize,True
fixed_keep_alive,8.0,img-resize,capacity_pressure,thumbnail;video-transcode,True
fixed_keep_alive,8.0,fft,capacity_pressure,thumbnail;video-transcode,True
fixed_keep_alive,8.6,thumbnail,capacity_pressure,json-parse;video-transcode,True
fixed_keep_alive,9.1,video-transcode,capacity_pressure,img-resize;json-parse,True
fixed_keep_alive,10.2,json-parse,capacity_pressure,fft;ml-infer,True
fixed_keep_alive,10.2,img-resize,capacity_pressure,fft;ml-infer,True
fixed_keep_alive,10.8,ml-infer,capacity_pressure,fft;img-resize,True
fixed_keep_alive,12.0,fft,capacity_pressure,img-resize;json-parse;thumbnail,True
fixed_keep_alive,12.8,img-resize,keep_alive_expired,thumbnail;video-transcode,True
fixed_keep_alive,12.8,json-parse,capacity_pressure,thumbnail;video-transcode,True
cold_start_aware,1.4,json-parse,capacity_pressure,img-resize;video-transcode,True
cold_start_aware,1.4,fft,capacity_pressure,img-resize;video-transcode,True
cold_start_aware,1.7,video-transcode,capacity_pressure,img-resize;json-parse,True
cold_start_aware,2.8,json-parse,capacity_pressure,img-resize;ml-infer,True
cold_start_aware,2.8,fft,capacity_pressure,img-resize;ml-infer,True
cold_start_aware,3.8,json-parse,capacity_pressure,img-resize;ml-infer;thumbnail,True
cold_start_aware,4.2,thumbnail,capacity_pressure,fft;img-resize,True
cold_start_aware,4.2,ml-infer,capacity_pressure,fft;img-resize,True
cold_start_aware,4.7,fft,capacity_pressure,img-resize;video-transcode,True
cold_start_aware,5.5,video-transcode,capacity_pressure,img-resize;json-parse,True
cold_start_aware,6.8,json-parse,capacity_pressure,fft;img-resize,True
cold_start_aware,6.8,ml-infer,capacity_pressure,fft;img-resize,True
cold_start_aware,8.0,thumbnail,capacity_pressure,img-resize;video-transcode,True
cold_start_aware,8.0,fft,capacity_pressure,img-resize;video-transcode,True
cold_start_aware,8.6,video-transcode,capacity_pressure,img-resize;json-parse,True
cold_start_aware,10.2,json-parse,capacity_pressure,fft;ml-infer,True
cold_start_aware,10.2,img-resize,capacity_pressure,fft;ml-infer,True
cold_start_aware,10.8,fft,capacity_pressure,img-resize;ml-infer,True
cold_start_aware,12.0,json-parse,capacity_pressure,img-resize;ml-infer;thumbnail,True
cold_start_aware,12.8,thumbnail,capacity_pressure,video-transcode,True
cold_start_aware,12.8,img-resize,capacity_pressure,video-transcode,True
cold_start_aware,12.8,ml-infer,capacity_pressure,video-transcode,True
