policy_name,function_name,request_count,hit_count,avg_latency,total_cold_start_penalty,avg_keep_alive_window,miss_count,hit_rate
cold_start_aware,fft,5,0,1.5799999999999998,7.0,2.76,5,0.0
cold_start_aware,img-resize,9,7,0.25777777777777783,1.6,2.7933333333333334,2,0.7777777777777778
cold_start_aware,json-parse,6,0,0.38999999999999996,2.0999999999999996,1.7866666666666668,6,0.0
cold_start_aware,ml-infer,3,0,2.1999999999999997,5.699999999999999,3.1466666666666665,3,0.0
cold_start_aware,thumbnail,3,0,0.56,1.5,1.7666666666666666,3,0.0
cold_start_aware,video-transcode,4,0,2.6500000000000004,8.8,3.24,4,0.0
fixed_keep_alive,fft,5,0,1.5799999999999998,7.0,2.0,5,0.0
fixed_keep_alive,img-resize,9,4,0.5244444444444444,4.0,2.0,5,0.4444444444444444
fixed_keep_alive,json-parse,6,0,0.38999999999999996,2.0999999999999996,2.0,6,0.0
fixed_keep_alive,ml-infer,3,0,2.1999999999999997,5.699999999999999,2.0,3,0.0
fixed_keep_alive,thumbnail,3,0,0.56,1.5,2.0,3,0.0
fixed_keep_alive,video-transcode,4,0,2.6500000000000004,8.8,2.0,4,0.0
