metric,value,note
function_cache_hit_rate__edge_cache_aware,0.9333333333333333,edge_cache_aware 函数 warm 实例缓存命中率（论文 demo 关键指标）
image_cache_hit_rate__edge_cache_aware,1.0,edge_cache_aware 镜像缓存命中率（避免镜像拉取）
data_cache_hit_rate__edge_cache_aware,0.9333333333333333,edge_cache_aware 数据缓存命中率（避免数据获取）
avg_estimated_latency__edge_cache_aware,0.36293333333333333,"edge_cache_aware 平均每次 invoke estimated_latency（warm=fast, cold=慢）"
total_cold_start_penalty__edge_cache_aware,2.4,edge_cache_aware 全部冷启动惩罚累加
total_image_pull_penalty__edge_cache_aware,0.0,edge_cache_aware 全部镜像拉取惩罚累加
total_data_fetch_penalty__edge_cache_aware,0.1,edge_cache_aware 全部数据获取惩罚累加
function_cache_hit_rate__edge_round_robin,0.2,edge_round_robin 函数 warm 实例缓存命中率（论文 demo 关键指标）
image_cache_hit_rate__edge_round_robin,0.26666666666666666,edge_round_robin 镜像缓存命中率（避免镜像拉取）
data_cache_hit_rate__edge_round_robin,0.26666666666666666,edge_round_robin 数据缓存命中率（避免数据获取）
avg_estimated_latency__edge_round_robin,2.0212,"edge_round_robin 平均每次 invoke estimated_latency（warm=fast, cold=慢）"
total_cold_start_penalty__edge_round_robin,15.9,edge_round_robin 全部冷启动惩罚累加
total_image_pull_penalty__edge_round_robin,7.55,edge_round_robin 全部镜像拉取惩罚累加
total_data_fetch_penalty__edge_round_robin,3.85,edge_round_robin 全部数据获取惩罚累加
function_cache_hit_rate_improvement__edge_cache_aware_over_edge_round_robin,0.7333333333333334,edge_cache_aware - edge_round_robin function 缓存命中率差值（论文 demo 关键数字）
image_cache_hit_rate_improvement__edge_cache_aware_over_edge_round_robin,0.7333333333333334,edge_cache_aware - edge_round_robin 镜像缓存命中率差值（论文 demo 关键数字）
data_cache_hit_rate_improvement__edge_cache_aware_over_edge_round_robin,0.6666666666666667,edge_cache_aware - edge_round_robin 数据缓存命中率差值（论文 demo 关键数字）
avg_estimated_latency_reduction__edge_cache_aware_over_edge_round_robin,0.8204367042680916,edge_cache_aware 相对 edge_round_robin 平均延迟降低比例
cold_start_penalty_reduction__edge_cache_aware_over_edge_round_robin,0.8490566037735849,edge_cache_aware 相对 edge_round_robin 冷启动惩罚降低比例
image_pull_penalty_reduction__edge_cache_aware_over_edge_round_robin,1.0,edge_cache_aware 相对 edge_round_robin 镜像拉取惩罚降低比例
data_fetch_penalty_reduction__edge_cache_aware_over_edge_round_robin,0.974025974025974,edge_cache_aware 相对 edge_round_robin 数据获取惩罚降低比例
result_candidate_consistency,1.0,result × candidate join match 占比（论文 demo 关键证据，应 1.0）
result_candidate_matched,30.0,matched 行数
result_candidate_total,30.0,join 总行数（应 == 2 policy × 15 request = 30）
