name,status,detail
scheduling_result_row_count,PASS,"results=30, expected=30 (2 policies × 15 requests)"
candidate_score_count,PASS,"candidates=180, results=30"
candidate_count_per_request_consistent,PASS,"candidate groups=30, candidates per request=6"
policy_summary_row_count,PASS,"summary rows=2, expected=2"
policy_request_count__edge_cache_aware,PASS,"request_count=15, expected=15"
policy_request_count__edge_round_robin,PASS,"request_count=15, expected=15"
function_cache_hit_rate_in_range__edge_cache_aware,PASS,function_cache_hit_rate=0.9333
image_cache_hit_rate_in_range__edge_cache_aware,PASS,image_cache_hit_rate=1.0000
data_cache_hit_rate_in_range__edge_cache_aware,PASS,data_cache_hit_rate=0.9333
function_cache_hit_rate_in_range__edge_round_robin,PASS,function_cache_hit_rate=0.2000
image_cache_hit_rate_in_range__edge_round_robin,PASS,image_cache_hit_rate=0.2667
data_cache_hit_rate_in_range__edge_round_robin,PASS,data_cache_hit_rate=0.2667
result_candidate_join_row_count,PASS,"join rows=30, results=30"
result_candidate_join_match,PASS,matched=30/30
paper_highlight_metric_count,PASS,"paper_highlight metrics=24, expected=24"
paper_highlight_function_cache_hit_rate__edge_cache_aware,PASS,"summary=0.933333, highlight=0.933333"
paper_highlight_image_cache_hit_rate__edge_cache_aware,PASS,"summary=1.000000, highlight=1.000000"
paper_highlight_data_cache_hit_rate__edge_cache_aware,PASS,"summary=0.933333, highlight=0.933333"
paper_highlight_function_cache_hit_rate__edge_round_robin,PASS,"summary=0.200000, highlight=0.200000"
paper_highlight_image_cache_hit_rate__edge_round_robin,PASS,"summary=0.266667, highlight=0.266667"
paper_highlight_data_cache_hit_rate__edge_round_robin,PASS,"summary=0.266667, highlight=0.266667"
paper_highlight_function_cache_hit_rate_improvement,PASS,"highlight=0.733333, expected=0.733333"
edge_cache_aware_beats_edge_round_robin,PASS,"edge_cache_aware=0.9333, edge_round_robin=0.2000"
paper_highlight_result_candidate_consistency,PASS,result_candidate_consistency=1.0000
export_tables_have_no_index_column,PASS,no pandas index columns
