request_id,time,function_name,source_zone,phase
1,0.0,img-resize,zone-a,warmup
2,0.2,json-parse,zone-a,warmup
3,0.5,img-resize,zone-a,warmup
4,0.8,fft,zone-b,warmup
5,1.1,img-resize,zone-a,warmup
6,1.4,ml-infer,zone-b,warmup
7,1.8,json-parse,zone-a,warmup
8,2.1,fft,zone-b,warmup
9,2.4,img-resize,zone-a,warmup
10,2.8,video-analytics,zone-c,warmup
11,3.0,img-resize,zone-a,burst
12,3.1,img-resize,zone-a,burst
13,3.2,fft,zone-b,burst
14,3.3,ml-infer,zone-b,burst
15,3.4,img-resize,zone-a,burst
16,3.5,json-parse,zone-a,burst
17,3.6,fft,zone-b,burst
18,3.7,ml-infer,zone-b,burst
19,3.8,video-analytics,zone-c,burst
20,3.9,img-resize,zone-a,burst
21,4.1,json-parse,zone-a,burst
22,4.3,fft,zone-b,burst
23,4.5,ml-infer,zone-b,burst
24,4.8,img-resize,zone-a,burst
25,5.2,video-analytics,zone-c,burst
26,6.0,json-parse,zone-a,cooldown
27,6.5,img-resize,zone-a,cooldown
28,7.0,fft,zone-b,cooldown
29,7.5,ml-infer,zone-b,cooldown
30,8.2,json-parse,zone-a,cooldown
31,9.0,img-resize,zone-b,cooldown
32,9.8,video-analytics,zone-c,cooldown
33,10.8,fft,zone-b,cooldown
34,12.0,json-parse,zone-a,cooldown
35,13.2,ml-infer,zone-c,cooldown
