case_id,policy_name,time,function_name,evicted_function,evicted_node,reason,utility,cache_used_after
load_only,LoadOnly,0.8,fft,json-parse,edge-a-2,cache_capacity_pressure,0.5833333333333334,3
load_only,LoadOnly,1.4,ml-infer,fft,edge-b-2,cache_capacity_pressure,1.1666666666666667,3
load_only,LoadOnly,1.8,json-parse,json-parse,edge-a-1,cache_capacity_pressure,1.1666666666666667,3
load_only,LoadOnly,2.1,img-resize,img-resize,edge-c-1,keep_alive_expired,4.000000000000001,2
load_only,LoadOnly,2.1,fft,ml-infer,edge-b-1,cache_capacity_pressure,1.5833333333333333,2
load_only,LoadOnly,2.8,video-analytics,video-analytics,edge-b-1,cache_capacity_pressure,1.3333333333333335,3
load_only,LoadOnly,3.0,fft,fft,edge-a-2,keep_alive_expired,2.3333333333333335,1
load_only,LoadOnly,3.3,ml-infer,ml-infer,edge-b-1,cache_capacity_pressure,3.1666666666666665,3
load_only,LoadOnly,3.5,json-parse,json-parse,edge-b-2,cache_capacity_pressure,1.7499999999999998,3
load_only,LoadOnly,3.7,ml-infer,fft,edge-c-1,cache_capacity_pressure,4.666666666666667,3
load_only,LoadOnly,3.8,video-analytics,video-analytics,edge-c-1,cache_capacity_pressure,2.666666666666667,3
load_only,LoadOnly,4.1,json-parse,json-parse,edge-b-1,cache_capacity_pressure,2.3333333333333335,3
load_only,LoadOnly,4.3,fft,ml-infer,edge-b-1,cache_capacity_pressure,4.75,3
load_only,LoadOnly,4.5,ml-infer,fft,edge-b-2,cache_capacity_pressure,5.833333333333334,3
load_only,LoadOnly,4.8,img-resize,img-resize,edge-a-2,keep_alive_expired,10.666666666666668,2
load_only,LoadOnly,5.2,video-analytics,video-analytics,edge-a-1,cache_capacity_pressure,4.0,3
load_only,LoadOnly,6.0,ml-infer,ml-infer,edge-c-1,keep_alive_expired,6.333333333333333,1
load_only,LoadOnly,6.0,img-resize,img-resize,cloud-1,keep_alive_expired,12.0,0
load_only,LoadOnly,7.0,json-parse,json-parse,edge-a-2,keep_alive_expired,2.3333333333333335,1
load_only,LoadOnly,7.5,img-resize,img-resize,edge-b-1,keep_alive_expired,9.333333333333334,2
load_only,LoadOnly,7.5,ml-infer,fft,edge-b-2,cache_capacity_pressure,5.833333333333334,2
load_only,LoadOnly,9.0,ml-infer,ml-infer,edge-a-1,keep_alive_expired,6.333333333333333,1
load_only,LoadOnly,9.0,json-parse,json-parse,cloud-1,keep_alive_expired,2.3333333333333335,0
load_only,LoadOnly,9.8,img-resize,img-resize,edge-a-1,keep_alive_expired,4.000000000000001,0
load_only,LoadOnly,10.8,video-analytics,video-analytics,cloud-1,keep_alive_expired,2.666666666666667,0
load_only,LoadOnly,12.0,fft,fft,edge-b-1,keep_alive_expired,2.3333333333333335,0
load_only,LoadOnly,13.2,json-parse,json-parse,edge-b-2,keep_alive_expired,1.1666666666666667,0
faascache,FaasCache,1.4,ml-infer,json-parse,edge-a-2,cache_capacity_pressure,0.5833333333333334,5
faascache,FaasCache,1.8,json-parse,fft,edge-b-2,cache_capacity_pressure,1.1666666666666667,4
