case_id,policy_name,function_name,request_count,warm_hit_rate,avg_latency,total_cold_start_penalty,avg_cache_utility,max_r_desired
cache_aware_joint,CacheAwareJoint,fft,7,0.7142857142857143,0.74,2.8,3.666666666666667,1
cache_aware_joint,CacheAwareJoint,img-resize,11,0.9090909090909091,0.21981818181818183,0.8,6.666666666666668,1
cache_aware_joint,CacheAwareJoint,json-parse,7,0.0,0.44799999999999995,2.4499999999999997,1.6666666666666667,1
cache_aware_joint,CacheAwareJoint,ml-infer,6,0.8333333333333334,0.9016666666666665,1.9,3.9583333333333335,1
cache_aware_joint,CacheAwareJoint,video-analytics,4,0.0,3.443,9.6,2.666666666666667,1
faascache,FaasCache,fft,7,0.7142857142857143,1.3437142857142856,2.8,3.666666666666667,1
faascache,FaasCache,img-resize,11,0.9090909090909091,0.4658181818181818,0.8,6.666666666666668,1
faascache,FaasCache,json-parse,7,0.0,0.6569999999999999,2.4499999999999997,1.6666666666666667,1
faascache,FaasCache,ml-infer,6,0.6666666666666666,1.7706666666666664,3.8,3.9583333333333335,1
faascache,FaasCache,video-analytics,4,0.0,5.17025,9.6,2.666666666666667,1
load_only,LoadOnly,fft,7,0.14285714285714285,2.1437142857142857,8.399999999999999,3.666666666666667,1
load_only,LoadOnly,img-resize,11,0.5454545454545454,0.7567272727272727,4.0,6.666666666666668,1
load_only,LoadOnly,json-parse,7,0.0,0.6569999999999999,2.4499999999999997,1.6666666666666667,1
load_only,LoadOnly,ml-infer,6,0.0,3.0373333333333328,11.399999999999999,3.9583333333333335,1
load_only,LoadOnly,video-analytics,4,0.0,5.17025,9.6,2.666666666666667,1
