time,function_name,current_replicas,target_replicas,control_action,executor_required,safe_to_execute,reason
0.0,fft,0,1,scale_out,True,True,load_requires_more_replicas
0.0,img-resize,1,1,protect,False,True,cache_or_load_keeps_replica
0.0,json-parse,1,1,protect,False,True,cache_or_load_keeps_replica
0.0,video-transcode,1,0,scale_in,True,True,no_cache_or_load_demand
1.0,fft,1,2,scale_out,True,True,load_requires_more_replicas
1.0,img-resize,1,2,scale_out,True,True,load_requires_more_replicas
1.0,json-parse,1,1,protect,False,True,cache_or_load_keeps_replica
1.0,video-transcode,1,1,protect,False,True,cache_or_load_keeps_replica
2.0,fft,2,4,scale_out,True,True,load_requires_more_replicas
2.0,img-resize,2,3,scale_out,True,True,load_requires_more_replicas
2.0,json-parse,1,1,protect,False,True,cache_or_load_keeps_replica
2.0,video-transcode,1,0,scale_in,True,True,no_cache_or_load_demand
3.0,fft,3,1,scale_in,True,True,desired_replicas_lower_than_current
3.0,img-resize,2,1,scale_in,True,True,desired_replicas_lower_than_current
3.0,json-parse,1,1,protect,False,True,cache_or_load_keeps_replica
3.0,video-transcode,1,0,scale_in,True,True,no_cache_or_load_demand
4.0,fft,1,1,protect,False,True,cache_or_load_keeps_replica
4.0,img-resize,1,1,protect,False,True,cache_or_load_keeps_replica
4.0,json-parse,1,1,observe,False,True,no_replica_change
4.0,video-transcode,1,0,scale_in,True,True,no_cache_or_load_demand
