time,function_name,current_replicas,warm_replicas,request_rate,n_req,avg_cold_start,memory_units,in_flight_requests,last_seen_age,cold_benefit,resource_cost,cache_utility,r_cache_raw,r_cache,r_load_raw,r_load,r_desired_before_budget,r_desired,delta,action,reason,selected_by_cache_budget,capacity_status
0.0,fft,0,0,0.6,4,1.4,2,0,0.5,9.24,1.2,7.7,1,1,1,1,1,1,1,scale_out,load_requires_more_replicas,True,cache_selected_within_budget
0.0,img-resize,1,1,4.0,20,0.8,1,0,0.2,17.2,0.6,28.666666666666668,1,1,1,1,1,1,0,protect,cache_or_load_keeps_replica,True,cache_selected_within_budget
0.0,json-parse,1,1,1.2,8,0.35,1,0,0.3,2.5199999999999996,0.6,4.199999999999999,1,1,1,1,1,1,0,protect,cache_or_load_keeps_replica,True,cache_selected_within_budget
0.0,video-transcode,1,1,0.0,0,2.2,3,0,8.0,0.0,1.7999999999999998,0.0,0,0,0,0,0,0,-1,scale_in,no_cache_or_load_demand,False,no_cache_budget_required
1.0,fft,1,1,2.7,12,1.4,2,0,0.2,26.04,1.2,21.7,1,1,2,2,2,2,1,scale_out,load_requires_more_replicas,True,cache_selected_within_budget
1.0,img-resize,1,1,7.5,34,0.8,1,1,0.1,30.72,0.6,51.2,1,1,2,2,2,2,1,scale_out,load_requires_more_replicas,True,cache_selected_within_budget
1.0,json-parse,1,1,2.0,14,0.35,1,0,0.2,4.865,0.6,8.108333333333334,1,1,1,1,1,1,0,protect,cache_or_load_keeps_replica,True,cache_selected_within_budget
1.0,video-transcode,1,1,0.2,1,2.2,3,0,4.0,2.2,1.7999999999999998,1.2222222222222225,1,1,1,1,1,1,0,protect,cache_or_load_keeps_replica,False,cache_budget_limited
2.0,fft,2,2,5.2,20,1.4,2,1,0.1,37.66,1.2,31.383333333333333,1,1,4,4,4,4,2,scale_out,load_requires_more_replicas,True,cache_selected_within_budget
2.0,img-resize,2,2,11.0,48,0.8,1,2,0.1,41.84,0.6,69.73333333333335,1,1,3,3,3,3,1,scale_out,load_requires_more_replicas,True,cache_selected_within_budget
2.0,json-parse,1,1,1.5,12,0.35,1,0,0.4,3.5699999999999994,0.6,5.949999999999999,1,1,1,1,1,1,0,protect,cache_or_load_keeps_replica,True,cache_selected_within_budget
2.0,video-transcode,1,1,0.0,0,2.2,3,0,10.0,0.0,1.7999999999999998,0.0,0,0,0,0,0,0,-1,scale_in,no_cache_or_load_demand,False,no_cache_budget_required
3.0,fft,3,3,1.1,8,1.4,2,0,1.0,9.799999999999999,1.2,8.166666666666666,1,1,1,1,1,1,-2,scale_in,desired_replicas_lower_than_current,True,cache_selected_within_budget
3.0,img-resize,2,2,3.2,18,0.8,1,0,0.5,13.76,0.6,22.933333333333334,1,1,1,1,1,1,-1,scale_in,desired_replicas_lower_than_current,True,cache_selected_within_budget
3.0,json-parse,1,1,0.5,5,0.35,1,0,1.2,1.4,0.6,2.3333333333333335,1,1,1,1,1,1,0,protect,cache_or_load_keeps_replica,True,cache_selected_within_budget
3.0,video-transcode,1,1,0.0,0,2.2,3,0,12.0,0.0,1.7999999999999998,0.0,0,0,0,0,0,0,-1,scale_in,no_cache_or_load_demand,False,no_cache_budget_required
4.0,fft,1,1,0.2,2,1.4,2,0,4.5,2.2399999999999998,1.2,1.8666666666666665,1,1,1,1,1,1,0,protect,cache_or_load_keeps_replica,True,cache_selected_within_budget
4.0,img-resize,1,1,1.0,8,0.8,1,0,2.0,5.44,0.6,9.066666666666668,1,1,1,1,1,1,0,protect,cache_or_load_keeps_replica,True,cache_selected_within_budget
4.0,json-parse,1,1,0.2,2,0.35,1,0,3.0,0.5599999999999999,0.6,0.9333333333333332,0,0,1,1,1,1,0,observe,no_replica_change,False,no_cache_budget_required
4.0,video-transcode,1,1,0.0,0,2.2,3,0,15.0,0.0,1.7999999999999998,0.0,0,0,0,0,0,0,-1,scale_in,no_cache_or_load_demand,False,no_cache_budget_required
