case_id,policy_name,request_id,time,phase,function_name,source_zone,selected_node,warm_hit,image_cache_hit,data_cache_hit,latency,warm_duration,cold_start_penalty,image_pull_penalty,data_fetch_penalty,network_latency,r_cache,r_load,r_desired,cache_utility,cache_used_after,warm_keys_after
load_only,LoadOnly,1,0.0,warmup,img-resize,zone-a,edge-a-1,False,False,False,1.538,0.08,0.8,0.45,0.2,0.008,0,1,1,1.3333333333333335,1,img-resize@edge-a-1
load_only,LoadOnly,2,0.2,warmup,json-parse,zone-a,edge-a-2,False,False,False,0.7519999999999999,0.04,0.35,0.25,0.1,0.012,0,1,1,0.5833333333333334,2,img-resize@edge-a-1;json-parse@edge-a-2
load_only,LoadOnly,3,0.5,warmup,img-resize,zone-a,edge-b-1,True,False,False,0.74,0.08,0.0,0.45,0.2,0.01,0,1,1,2.666666666666667,2,img-resize@edge-b-1;json-parse@edge-a-2
load_only,LoadOnly,4,0.8,warmup,fft,zone-b,edge-b-2,False,False,False,2.646,0.18,1.4,0.7,0.35,0.016,0,1,1,1.1666666666666667,3,fft@edge-b-2;img-resize@edge-b-1
load_only,LoadOnly,5,1.1,warmup,img-resize,zone-a,edge-c-1,True,False,False,0.748,0.08,0.0,0.45,0.2,0.018,0,1,1,4.000000000000001,3,fft@edge-b-2;img-resize@edge-c-1
load_only,LoadOnly,6,1.4,warmup,ml-infer,zone-b,edge-b-1,False,False,False,3.8599999999999994,0.3,1.9,1.1,0.55,0.01,0,1,1,1.5833333333333333,3,img-resize@edge-c-1;ml-infer@edge-b-1
load_only,LoadOnly,7,1.8,warmup,json-parse,zone-a,edge-a-1,False,False,False,0.7479999999999999,0.04,0.35,0.25,0.1,0.008,0,1,1,1.1666666666666667,3,img-resize@edge-c-1;ml-infer@edge-b-1
load_only,LoadOnly,8,2.1,warmup,fft,zone-b,edge-a-2,False,False,False,2.642,0.18,1.4,0.7,0.35,0.012,0,1,1,2.3333333333333335,2,fft@edge-a-2
load_only,LoadOnly,9,2.4,warmup,img-resize,zone-a,edge-b-1,False,True,True,0.89,0.08,0.8,0.0,0.0,0.01,0,1,1,5.333333333333334,3,fft@edge-a-2;img-resize@edge-b-1
load_only,LoadOnly,10,2.8,warmup,video-analytics,zone-c,edge-b-1,False,False,False,5.16,0.45,2.4,1.4,0.9,0.01,0,1,1,1.3333333333333335,3,fft@edge-a-2;img-resize@edge-b-1
load_only,LoadOnly,11,3.0,burst,img-resize,zone-a,edge-c-1,True,True,True,0.098,0.08,0.0,0.0,0.0,0.018,0,1,1,6.666666666666667,1,img-resize@edge-c-1
load_only,LoadOnly,12,3.1,burst,img-resize,zone-a,cloud-1,True,False,False,0.775,0.08,0.0,0.45,0.2,0.045,0,1,1,8.000000000000002,1,img-resize@cloud-1
load_only,LoadOnly,13,3.2,burst,fft,zone-b,edge-a-1,False,False,False,2.638,0.18,1.4,0.7,0.35,0.008,0,1,1,3.4999999999999996,3,fft@edge-a-1;img-resize@cloud-1
load_only,LoadOnly,14,3.3,burst,ml-infer,zone-b,edge-b-1,False,True,True,2.2099999999999995,0.3,1.9,0.0,0.0,0.01,0,1,1,3.1666666666666665,3,fft@edge-a-1;img-resize@cloud-1
load_only,LoadOnly,15,3.4,burst,img-resize,zone-a,edge-b-1,True,True,True,0.09,0.08,0.0,0.0,0.0,0.01,0,1,1,9.333333333333334,3,fft@edge-a-1;img-resize@edge-b-1
load_only,LoadOnly,16,3.5,burst,json-parse,zone-a,edge-b-2,False,False,False,0.7559999999999999,0.04,0.35,0.25,0.1,0.016,0,1,1,1.7499999999999998,3,fft@edge-a-1;img-resize@edge-b-1
load_only,LoadOnly,17,3.6,burst,fft,zone-b,edge-c-1,True,False,False,1.248,0.18,0.0,0.7,0.35,0.018,0,1,1,4.666666666666667,3,fft@edge-c-1;img-resize@edge-b-1
load_only,LoadOnly,18,3.7,burst,ml-infer,zone-b,edge-b-1,False,True,True,2.2099999999999995,0.3,1.9,0.0,0.0,0.01,0,1,1,4.75,3,img-resize@edge-b-1;ml-infer@edge-b-1
load_only,LoadOnly,19,3.8,burst,video-analytics,zone-c,edge-c-1,False,False,False,5.168,0.45,2.4,1.4,0.9,0.018,0,1,1,2.666666666666667,3,img-resize@edge-b-1;ml-infer@edge-b-1
load_only,LoadOnly,20,3.9,burst,img-resize,zone-a,edge-a-2,True,False,False,0.742,0.08,0.0,0.45,0.2,0.012,0,1,1,10.666666666666668,3,img-resize@edge-a-2;ml-infer@edge-b-1
load_only,LoadOnly,21,4.1,burst,json-parse,zone-a,edge-b-1,False,False,False,0.7499999999999999,0.04,0.35,0.25,0.1,0.01,0,1,1,2.3333333333333335,3,img-resize@edge-a-2;ml-infer@edge-b-1
load_only,LoadOnly,22,4.3,burst,fft,zone-b,edge-b-2,False,True,True,1.5959999999999999,0.18,1.4,0.0,0.0,0.016,0,1,1,5.833333333333334,3,fft@edge-b-2;img-resize@edge-a-2
load_only,LoadOnly,23,4.5,burst,ml-infer,zone-b,edge-c-1,False,False,False,3.8679999999999994,0.3,1.9,1.1,0.55,0.018,0,1,1,6.333333333333333,3,img-resize@edge-a-2;ml-infer@edge-c-1
load_only,LoadOnly,24,4.8,burst,img-resize,zone-a,cloud-1,False,True,True,0.925,0.08,0.8,0.0,0.0,0.045,0,1,1,12.0,3,img-resize@cloud-1;ml-infer@edge-c-1
load_only,LoadOnly,25,5.2,burst,video-analytics,zone-c,edge-a-1,False,False,False,5.158,0.45,2.4,1.4,0.9,0.008,0,1,1,4.0,3,img-resize@cloud-1;ml-infer@edge-c-1
load_only,LoadOnly,26,6.0,cooldown,json-parse,zone-a,edge-a-2,False,True,True,0.40199999999999997,0.04,0.35,0.0,0.0,0.012,0,1,1,2.3333333333333335,1,json-parse@edge-a-2
load_only,LoadOnly,27,6.5,cooldown,img-resize,zone-a,edge-b-1,False,True,True,0.89,0.08,0.8,0.0,0.0,0.01,0,1,1,9.333333333333334,2,img-resize@edge-b-1;json-parse@edge-a-2
load_only,LoadOnly,28,7.0,cooldown,fft,zone-b,edge-b-2,False,True,True,1.5959999999999999,0.18,1.4,0.0,0.0,0.016,0,1,1,5.833333333333334,3,fft@edge-b-2;img-resize@edge-b-1
load_only,LoadOnly,29,7.5,cooldown,ml-infer,zone-b,edge-a-1,False,False,False,3.8579999999999997,0.3,1.9,1.1,0.55,0.008,0,1,1,6.333333333333333,2,ml-infer@edge-a-1
load_only,LoadOnly,30,8.2,cooldown,json-parse,zone-a,cloud-1,False,False,False,0.7849999999999999,0.04,0.35,0.25,0.1,0.045,0,1,1,2.3333333333333335,3,json-parse@cloud-1;ml-infer@edge-a-1
load_only,LoadOnly,31,9.0,cooldown,img-resize,zone-b,edge-a-1,False,True,True,0.888,0.08,0.8,0.0,0.0,0.008,0,1,1,4.000000000000001,1,img-resize@edge-a-1
load_only,LoadOnly,32,9.8,cooldown,video-analytics,zone-c,cloud-1,False,False,False,5.195,0.45,2.4,1.4,0.9,0.045,0,1,1,2.666666666666667,3,video-analytics@cloud-1
load_only,LoadOnly,33,10.8,cooldown,fft,zone-b,edge-b-1,False,False,False,2.6399999999999997,0.18,1.4,0.7,0.35,0.01,0,1,1,2.3333333333333335,2,fft@edge-b-1
load_only,LoadOnly,34,12.0,cooldown,json-parse,zone-a,edge-b-2,False,True,True,0.40599999999999997,0.04,0.35,0.0,0.0,0.016,0,1,1,1.1666666666666667,1,json-parse@edge-b-2
load_only,LoadOnly,35,13.2,cooldown,ml-infer,zone-c,edge-c-1,False,True,True,2.2179999999999995,0.3,1.9,0.0,0.0,0.018,0,1,1,1.5833333333333333,2,ml-infer@edge-c-1
faascache,FaasCache,1,0.0,warmup,img-resize,zone-a,edge-a-1,False,False,False,1.538,0.08,0.8,0.45,0.2,0.008,1,0,1,1.3333333333333335,1,img-resize@edge-a-1
faascache,FaasCache,2,0.2,warmup,json-parse,zone-a,edge-a-2,False,False,False,0.7519999999999999,0.04,0.35,0.25,0.1,0.012,0,0,0,0.5833333333333334,2,img-resize@edge-a-1;json-parse@edge-a-2
faascache,FaasCache,3,0.5,warmup,img-resize,zone-a,edge-b-1,True,False,False,0.74,0.08,0.0,0.45,0.2,0.01,1,0,1,2.666666666666667,2,img-resize@edge-b-1;json-parse@edge-a-2
faascache,FaasCache,4,0.8,warmup,fft,zone-b,edge-b-2,False,False,False,2.646,0.18,1.4,0.7,0.35,0.016,1,0,1,1.1666666666666667,4,fft@edge-b-2;img-resize@edge-b-1;json-parse@edge-a-2
faascache,FaasCache,5,1.1,warmup,img-resize,zone-a,edge-c-1,True,False,False,0.748,0.08,0.0,0.45,0.2,0.018,1,0,1,4.000000000000001,4,fft@edge-b-2;img-resize@edge-c-1;json-parse@edge-a-2
faascache,FaasCache,6,1.4,warmup,ml-infer,zone-b,edge-b-1,False,False,False,3.8599999999999994,0.3,1.9,1.1,0.55,0.01,1,0,1,1.5833333333333333,5,fft@edge-b-2;img-resize@edge-c-1;ml-infer@edge-b-1
faascache,FaasCache,7,1.8,warmup,json-parse,zone-a,edge-a-1,False,False,False,0.7479999999999999,0.04,0.35,0.25,0.1,0.008,1,0,1,1.1666666666666667,4,img-resize@edge-c-1;json-parse@edge-a-1;ml-infer@edge-b-1
faascache,FaasCache,8,2.1,warmup,fft,zone-b,edge-a-2,False,False,False,2.642,0.18,1.4,0.7,0.35,0.012,1,0,1,2.3333333333333335,5,fft@edge-a-2;img-resize@edge-c-1;ml-infer@edge-b-1
faascache,FaasCache,9,2.4,warmup,img-resize,zone-a,edge-b-1,True,True,True,0.09,0.08,0.0,0.0,0.0,0.01,1,0,1,5.333333333333334,5,fft@edge-a-2;img-resize@edge-b-1;ml-infer@edge-b-1
faascache,FaasCache,10,2.8,warmup,video-analytics,zone-c,edge-b-1,False,False,False,5.16,0.45,2.4,1.4,0.9,0.01,1,0,1,1.3333333333333335,5,fft@edge-a-2;img-resize@edge-b-1;ml-infer@edge-b-1
faascache,FaasCache,11,3.0,burst,img-resize,zone-a,edge-c-1,True,True,True,0.098,0.08,0.0,0.0,0.0,0.018,1,0,1,6.666666666666667,5,fft@edge-a-2;img-resize@edge-c-1;ml-infer@edge-b-1
faascache,FaasCache,12,3.1,burst,img-resize,zone-a,cloud-1,True,False,False,0.775,0.08,0.0,0.45,0.2,0.045,1,0,1,8.000000000000002,5,fft@edge-a-2;img-resize@cloud-1;ml-infer@edge-b-1
faascache,FaasCache,13,3.2,burst,fft,zone-b,edge-a-1,True,False,False,1.238,0.18,0.0,0.7,0.35,0.008,1,0,1,3.4999999999999996,5,fft@edge-a-1;img-resize@cloud-1;ml-infer@edge-b-1
faascache,FaasCache,14,3.3,burst,ml-infer,zone-b,edge-b-1,True,True,True,0.31,0.3,0.0,0.0,0.0,0.01,1,0,1,3.1666666666666665,5,fft@edge-a-1;img-resize@cloud-1;ml-infer@edge-b-1
faascache,FaasCache,15,3.4,burst,img-resize,zone-a,edge-b-1,True,True,True,0.09,0.08,0.0,0.0,0.0,0.01,1,0,1,9.333333333333334,5,fft@edge-a-1;img-resize@edge-b-1;ml-infer@edge-b-1
faascache,FaasCache,16,3.5,burst,json-parse,zone-a,edge-b-2,False,False,False,0.7559999999999999,0.04,0.35,0.25,0.1,0.016,1,0,1,1.7499999999999998,5,fft@edge-a-1;img-resize@edge-b-1;ml-infer@edge-b-1
faascache,FaasCache,17,3.6,burst,fft,zone-b,edge-c-1,True,False,False,1.248,0.18,0.0,0.7,0.35,0.018,1,0,1,4.666666666666667,5,fft@edge-c-1;img-resize@edge-b-1;ml-infer@edge-b-1
faascache,FaasCache,18,3.7,burst,ml-infer,zone-b,edge-b-1,True,True,True,0.31,0.3,0.0,0.0,0.0,0.01,1,0,1,4.75,5,fft@edge-c-1;img-resize@edge-b-1;ml-infer@edge-b-1
faascache,FaasCache,19,3.8,burst,video-analytics,zone-c,edge-c-1,False,False,False,5.168,0.45,2.4,1.4,0.9,0.018,1,0,1,2.666666666666667,5,fft@edge-c-1;img-resize@edge-b-1;ml-infer@edge-b-1
faascache,FaasCache,20,3.9,burst,img-resize,zone-a,edge-a-2,True,False,False,0.742,0.08,0.0,0.45,0.2,0.012,1,0,1,10.666666666666668,5,fft@edge-c-1;img-resize@edge-a-2;ml-infer@edge-b-1
faascache,FaasCache,21,4.1,burst,json-parse,zone-a,edge-b-1,False,False,False,0.7499999999999999,0.04,0.35,0.25,0.1,0.01,1,0,1,2.3333333333333335,5,fft@edge-c-1;img-resize@edge-a-2;ml-infer@edge-b-1
faascache,FaasCache,22,4.3,burst,fft,zone-b,edge-b-2,True,True,True,0.196,0.18,0.0,0.0,0.0,0.016,1,0,1,5.833333333333334,5,fft@edge-b-2;img-resize@edge-a-2;ml-infer@edge-b-1
faascache,FaasCache,23,4.5,burst,ml-infer,zone-b,edge-c-1,True,False,False,1.9680000000000002,0.3,0.0,1.1,0.55,0.018,1,0,1,6.333333333333333,5,fft@edge-b-2;img-resize@edge-a-2;ml-infer@edge-c-1
