function_name,sample_id,duration
trace-fast-python-pi,1,0.08
trace-fast-python-pi,2,0.10
trace-fast-python-pi,3,0.09
trace-fast-python-pi,4,0.11
trace-fast-python-pi,5,0.10
trace-fast-python-pi,6,0.12
trace-fast-python-pi,7,0.09
trace-fast-python-pi,8,0.10
trace-fast-python-pi,9,0.13
trace-fast-python-pi,10,0.09
trace-fast-python-pi,11,0.11
trace-fast-python-pi,12,0.10
trace-slow-python-pi,1,0.45
trace-slow-python-pi,2,0.52
trace-slow-python-pi,3,0.48
trace-slow-python-pi,4,0.60
trace-slow-python-pi,5,0.55
trace-slow-python-pi,6,0.50
trace-slow-python-pi,7,0.58
trace-slow-python-pi,8,0.62
trace-slow-python-pi,9,0.47
trace-slow-python-pi,10,0.53
trace-slow-python-pi,11,0.57
trace-slow-python-pi,12,0.49
